2021-03-26 21:34:56 [info] Event logging started at level warn
2021-03-26 21:34:56 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-03-26 21:37:00 [warn] Beginning heatbreak profile
2021-03-26 21:37:00 [warn] Temp0 219.1
2021-03-26 21:37:00 [warn] Temp1 191.8
2021-03-26 21:37:00 [warn] Temp2 -273.1
2021-03-26 21:37:00 [warn] Profile replicate 1
2021-03-26 21:37:42 [warn] Temp1 194.8, Z 50.000, N 1
2021-03-26 21:37:54 [warn] Temp1 192.8, Z 49.500, N 1
2021-03-26 21:38:06 [warn] Temp1 191.1, Z 49.000, N 1
2021-03-26 21:38:19 [warn] Temp1 189.6, Z 48.500, N 1
2021-03-26 21:38:31 [warn] Temp1 189.1, Z 48.000, N 1
2021-03-26 21:38:43 [warn] Temp1 188.5, Z 47.500, N 1
2021-03-26 21:38:56 [warn] Temp1 187.6, Z 47.000, N 1
2021-03-26 21:39:08 [warn] Temp1 186.6, Z 46.500, N 1
2021-03-26 21:39:20 [warn] Temp1 186.0, Z 46.000, N 1
2021-03-26 21:39:33 [warn] Temp1 184.9, Z 45.500, N 1
2021-03-26 21:39:45 [warn] Temp1 182.8, Z 45.000, N 1
2021-03-26 21:39:57 [warn] Temp1 181.2, Z 44.500, N 1
2021-03-26 21:40:10 [warn] Temp1 179.2, Z 44.000, N 1
2021-03-26 21:40:22 [warn] Temp1 176.2, Z 43.500, N 1
2021-03-26 21:40:34 [warn] Temp1 171.6, Z 43.000, N 1
2021-03-26 21:40:47 [warn] Temp1 168.4, Z 42.500, N 1
2021-03-26 21:40:59 [warn] Temp1 166.5, Z 42.000, N 1
2021-03-26 21:41:11 [warn] Temp1 163.6, Z 41.500, N 1
2021-03-26 21:41:24 [warn] Temp1 159.3, Z 41.000, N 1
2021-03-26 21:41:36 [warn] Temp1 155.9, Z 40.500, N 1
2021-03-26 21:41:48 [warn] Temp1 151.8, Z 40.000, N 1
2021-03-26 21:42:01 [warn] Temp1 146.4, Z 39.500, N 1
2021-03-26 21:42:13 [warn] Temp1 140.4, Z 39.000, N 1
2021-03-26 21:42:25 [warn] Temp1 133.8, Z 38.500, N 1
2021-03-26 21:42:38 [warn] Temp1 125.1, Z 38.000, N 1
2021-03-26 21:42:50 [warn] Temp1 114.0, Z 37.500, N 1
2021-03-26 21:43:02 [warn] Temp1 100.8, Z 37.000, N 1
2021-03-26 21:43:15 [warn] Temp1 86.6, Z 36.500, N 1
2021-03-26 21:43:27 [warn] Temp1 72.4, Z 36.000, N 1
2021-03-26 21:43:39 [warn] Temp1 59.6, Z 35.500, N 1
2021-03-26 21:43:52 [warn] Temp1 51.4, Z 35.000, N 1
2021-03-26 21:44:04 [warn] Temp1 45.9, Z 34.500, N 1
2021-03-26 21:44:16 [warn] Temp1 42.3, Z 34.000, N 1
2021-03-26 21:44:29 [warn] Temp1 40.0, Z 33.500, N 1
2021-03-26 21:44:41 [warn] Temp1 38.6, Z 33.000, N 1
2021-03-26 21:44:53 [warn] Temp1 37.4, Z 32.500, N 1
2021-03-26 21:45:06 [warn] Temp1 36.6, Z 32.000, N 1
2021-03-26 21:45:18 [warn] Temp1 36.1, Z 31.500, N 1
2021-03-26 21:45:30 [warn] Temp1 35.7, Z 31.000, N 1
2021-03-26 21:45:43 [warn] Temp1 35.4, Z 30.500, N 1
2021-03-26 21:45:55 [warn] Temp1 35.3, Z 30.000, N 1
2021-03-26 21:46:07 [warn] Temp1 34.8, Z 29.500, N 1
2021-03-26 21:46:20 [warn] Temp1 34.8, Z 29.000, N 1
2021-03-26 21:46:32 [warn] Temp1 34.5, Z 28.500, N 1
2021-03-26 21:46:44 [warn] Temp1 34.4, Z 28.000, N 1
2021-03-26 21:46:44 [warn] Profile replicate 2
2021-03-26 21:47:34 [warn] Temp1 193.3, Z 50.000, N 2
2021-03-26 21:47:47 [warn] Temp1 192.9, Z 49.500, N 2
2021-03-26 21:47:59 [warn] Temp1 192.1, Z 49.000, N 2
2021-03-26 21:48:11 [warn] Temp1 190.6, Z 48.500, N 2
2021-03-26 21:48:24 [warn] Temp1 189.7, Z 48.000, N 2
2021-03-26 21:48:36 [warn] Temp1 188.8, Z 47.500, N 2
2021-03-26 21:48:48 [warn] Temp1 187.9, Z 47.000, N 2
2021-03-26 21:49:01 [warn] Temp1 186.9, Z 46.500, N 2
2021-03-26 21:49:13 [warn] Temp1 186.2, Z 46.000, N 2
2021-03-26 21:49:25 [warn] Temp1 185.0, Z 45.500, N 2
2021-03-26 21:49:38 [warn] Temp1 182.6, Z 45.000, N 2
2021-03-26 21:49:50 [warn] Temp1 181.0, Z 44.500, N 2
2021-03-26 21:50:02 [warn] Temp1 179.6, Z 44.000, N 2
2021-03-26 21:50:15 [warn] Temp1 176.3, Z 43.500, N 2
2021-03-26 21:50:27 [warn] Temp1 172.0, Z 43.000, N 2
2021-03-26 21:50:39 [warn] Temp1 168.8, Z 42.500, N 2
2021-03-26 21:50:52 [warn] Temp1 166.9, Z 42.000, N 2
2021-03-26 21:51:04 [warn] Temp1 163.7, Z 41.500, N 2
2021-03-26 21:51:16 [warn] Temp1 159.8, Z 41.000, N 2
2021-03-26 21:51:29 [warn] Temp1 156.3, Z 40.500, N 2
2021-03-26 21:51:41 [warn] Temp1 151.8, Z 40.000, N 2
2021-03-26 21:51:53 [warn] Temp1 146.9, Z 39.500, N 2
2021-03-26 21:52:06 [warn] Temp1 141.4, Z 39.000, N 2
2021-03-26 21:52:18 [warn] Temp1 134.5, Z 38.500, N 2
2021-03-26 21:52:30 [warn] Temp1 125.7, Z 38.000, N 2
2021-03-26 21:52:43 [warn] Temp1 114.6, Z 37.500, N 2
2021-03-26 21:52:55 [warn] Temp1 101.4, Z 37.000, N 2
2021-03-26 21:53:07 [warn] Temp1 86.9, Z 36.500, N 2
2021-03-26 21:53:20 [warn] Temp1 72.5, Z 36.000, N 2
