2021-03-26 23:18:52 [info] Event logging started at level warn
2021-03-26 23:18:52 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-03-26 23:34:36 [warn] Beginning heatbreak profile
2021-03-26 23:34:36 [warn] Temp0 219.0
2021-03-26 23:34:36 [warn] Temp1 192.0
2021-03-26 23:34:36 [warn] Temp2 -273.1
2021-03-26 23:34:36 [warn] Profile replicate 1
2021-03-26 23:35:18 [warn] Temp1 195.2, Z 50.000, N 1
2021-03-26 23:35:31 [warn] Temp1 193.0, Z 49.500, N 1
2021-03-26 23:35:43 [warn] Temp1 191.9, Z 49.000, N 1
2021-03-26 23:35:55 [warn] Temp1 190.3, Z 48.500, N 1
2021-03-26 23:36:08 [warn] Temp1 189.8, Z 48.000, N 1
2021-03-26 23:36:20 [warn] Temp1 189.4, Z 47.500, N 1
2021-03-26 23:36:32 [warn] Temp1 188.7, Z 47.000, N 1
2021-03-26 23:36:45 [warn] Temp1 188.0, Z 46.500, N 1
2021-03-26 23:36:57 [warn] Temp1 187.3, Z 46.000, N 1
2021-03-26 23:37:09 [warn] Temp1 185.4, Z 45.500, N 1
2021-03-26 23:37:22 [warn] Temp1 183.8, Z 45.000, N 1
2021-03-26 23:37:34 [warn] Temp1 182.2, Z 44.500, N 1
2021-03-26 23:37:46 [warn] Temp1 180.9, Z 44.000, N 1
2021-03-26 23:37:59 [warn] Temp1 177.9, Z 43.500, N 1
2021-03-26 23:38:11 [warn] Temp1 174.0, Z 43.000, N 1
2021-03-26 23:38:23 [warn] Temp1 171.4, Z 42.500, N 1
2021-03-26 23:38:36 [warn] Temp1 169.3, Z 42.000, N 1
2021-03-26 23:38:48 [warn] Temp1 167.0, Z 41.500, N 1
2021-03-26 23:39:00 [warn] Temp1 164.2, Z 41.000, N 1
2021-03-26 23:39:13 [warn] Temp1 161.1, Z 40.500, N 1
2021-03-26 23:39:25 [warn] Temp1 157.2, Z 40.000, N 1
2021-03-26 23:39:37 [warn] Temp1 152.3, Z 39.500, N 1
2021-03-26 23:39:50 [warn] Temp1 147.9, Z 39.000, N 1
2021-03-26 23:40:02 [warn] Temp1 142.0, Z 38.500, N 1
2021-03-26 23:40:14 [warn] Temp1 134.1, Z 38.000, N 1
2021-03-26 23:40:27 [warn] Temp1 125.2, Z 37.500, N 1
2021-03-26 23:40:39 [warn] Temp1 113.8, Z 37.000, N 1
2021-03-26 23:40:51 [warn] Temp1 101.9, Z 36.500, N 1
2021-03-26 23:41:04 [warn] Temp1 90.5, Z 36.000, N 1
2021-03-26 23:41:16 [warn] Temp1 80.5, Z 35.500, N 1
2021-03-26 23:41:28 [warn] Temp1 74.1, Z 35.000, N 1
2021-03-26 23:41:41 [warn] Temp1 70.1, Z 34.500, N 1
2021-03-26 23:41:53 [warn] Temp1 67.7, Z 34.000, N 1
2021-03-26 23:42:05 [warn] Temp1 66.3, Z 33.500, N 1
2021-03-26 23:42:18 [warn] Temp1 65.5, Z 33.000, N 1
2021-03-26 23:42:30 [warn] Temp1 65.1, Z 32.500, N 1
2021-03-26 23:42:42 [warn] Temp1 64.9, Z 32.000, N 1
2021-03-26 23:42:55 [warn] Temp1 64.9, Z 31.500, N 1
2021-03-26 23:43:07 [warn] Temp1 65.0, Z 31.000, N 1
2021-03-26 23:43:19 [warn] Temp1 65.1, Z 30.500, N 1
2021-03-26 23:43:32 [warn] Temp1 65.3, Z 30.000, N 1
2021-03-26 23:43:44 [warn] Temp1 65.4, Z 29.500, N 1
2021-03-26 23:43:56 [warn] Temp1 65.7, Z 29.000, N 1
2021-03-26 23:44:09 [warn] Temp1 65.9, Z 28.500, N 1
2021-03-26 23:44:21 [warn] Temp1 66.1, Z 28.000, N 1
2021-03-26 23:44:21 [warn] Profile replicate 2
2021-03-26 23:45:11 [warn] Temp1 194.2, Z 50.000, N 2
2021-03-26 23:45:23 [warn] Temp1 194.1, Z 49.500, N 2
2021-03-26 23:45:36 [warn] Temp1 193.3, Z 49.000, N 2
2021-03-26 23:45:48 [warn] Temp1 192.9, Z 48.500, N 2
2021-03-26 23:46:00 [warn] Temp1 192.3, Z 48.000, N 2
2021-03-26 23:46:13 [warn] Temp1 191.8, Z 47.500, N 2
2021-03-26 23:46:25 [warn] Temp1 191.1, Z 47.000, N 2
2021-03-26 23:46:37 [warn] Temp1 190.5, Z 46.500, N 2
2021-03-26 23:46:50 [warn] Temp1 189.6, Z 46.000, N 2
2021-03-26 23:47:02 [warn] Temp1 188.3, Z 45.500, N 2
2021-03-26 23:47:14 [warn] Temp1 187.0, Z 45.000, N 2
2021-03-26 23:47:27 [warn] Temp1 185.2, Z 44.500, N 2
2021-03-26 23:47:39 [warn] Temp1 184.0, Z 44.000, N 2
2021-03-26 23:47:51 [warn] Temp1 181.7, Z 43.500, N 2
2021-03-26 23:48:04 [warn] Temp1 178.7, Z 43.000, N 2
2021-03-26 23:48:16 [warn] Temp1 175.9, Z 42.500, N 2
2021-03-26 23:48:28 [warn] Temp1 173.1, Z 42.000, N 2
2021-03-26 23:48:41 [warn] Temp1 170.8, Z 41.500, N 2
2021-03-26 23:48:53 [warn] Temp1 168.5, Z 41.000, N 2
2021-03-26 23:49:05 [warn] Temp1 165.9, Z 40.500, N 2
2021-03-26 23:49:18 [warn] Temp1 163.5, Z 40.000, N 2
2021-03-26 23:49:30 [warn] Temp1 159.3, Z 39.500, N 2
2021-03-26 23:49:42 [warn] Temp1 154.7, Z 39.000, N 2
2021-03-26 23:49:55 [warn] Temp1 149.5, Z 38.500, N 2
2021-03-26 23:50:07 [warn] Temp1 142.1, Z 38.000, N 2
2021-03-26 23:50:19 [warn] Temp1 133.9, Z 37.500, N 2
2021-03-26 23:50:32 [warn] Temp1 124.0, Z 37.000, N 2
2021-03-26 23:50:44 [warn] Temp1 113.8, Z 36.500, N 2
2021-03-26 23:50:56 [warn] Temp1 103.3, Z 36.000, N 2
2021-03-26 23:51:09 [warn] Temp1 94.1, Z 35.500, N 2
2021-03-26 23:51:21 [warn] Temp1 88.1, Z 35.000, N 2
2021-03-26 23:51:33 [warn] Temp1 84.0, Z 34.500, N 2
2021-03-26 23:51:46 [warn] Temp1 81.5, Z 34.000, N 2
2021-03-26 23:51:58 [warn] Temp1 79.9, Z 33.500, N 2
2021-03-26 23:52:10 [warn] Temp1 78.8, Z 33.000, N 2
