2021-03-26 19:28:24 [info] Event logging started at level warn
2021-03-26 19:28:24 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-03-26 19:32:29 [warn] Beginning heatbreak profile
2021-03-26 19:32:29 [warn] Temp0 219.2
2021-03-26 19:32:29 [warn] Temp1 192.9
2021-03-26 19:32:29 [warn] Temp2 -273.1
2021-03-26 19:32:29 [warn] Profile replicate 1
2021-03-26 19:33:11 [warn] Temp1 195.3, Z 50.000, N 1
2021-03-26 19:33:23 [warn] Temp1 193.3, Z 49.500, N 1
2021-03-26 19:33:35 [warn] Temp1 192.2, Z 49.000, N 1
2021-03-26 19:33:48 [warn] Temp1 191.6, Z 48.500, N 1
2021-03-26 19:34:00 [warn] Temp1 191.3, Z 48.000, N 1
2021-03-26 19:34:12 [warn] Temp1 190.8, Z 47.500, N 1
2021-03-26 19:34:25 [warn] Temp1 190.0, Z 47.000, N 1
2021-03-26 19:34:37 [warn] Temp1 188.7, Z 46.500, N 1
2021-03-26 19:34:49 [warn] Temp1 187.4, Z 46.000, N 1
2021-03-26 19:35:02 [warn] Temp1 185.8, Z 45.500, N 1
2021-03-26 19:35:14 [warn] Temp1 183.8, Z 45.000, N 1
2021-03-26 19:35:26 [warn] Temp1 180.6, Z 44.500, N 1
2021-03-26 19:35:39 [warn] Temp1 177.3, Z 44.000, N 1
2021-03-26 19:35:51 [warn] Temp1 176.5, Z 43.500, N 1
2021-03-26 19:36:03 [warn] Temp1 174.9, Z 43.000, N 1
2021-03-26 19:36:16 [warn] Temp1 172.9, Z 42.500, N 1
2021-03-26 19:36:28 [warn] Temp1 171.0, Z 42.000, N 1
2021-03-26 19:36:40 [warn] Temp1 168.7, Z 41.500, N 1
2021-03-26 19:36:53 [warn] Temp1 165.9, Z 41.000, N 1
2021-03-26 19:37:05 [warn] Temp1 163.3, Z 40.500, N 1
2021-03-26 19:37:17 [warn] Temp1 160.2, Z 40.000, N 1
2021-03-26 19:37:30 [warn] Temp1 157.2, Z 39.500, N 1
2021-03-26 19:37:42 [warn] Temp1 153.1, Z 39.000, N 1
2021-03-26 19:37:54 [warn] Temp1 146.3, Z 38.500, N 1
2021-03-26 19:38:07 [warn] Temp1 135.1, Z 38.000, N 1
2021-03-26 19:38:19 [warn] Temp1 117.7, Z 37.500, N 1
2021-03-26 19:38:31 [warn] Temp1 96.9, Z 37.000, N 1
2021-03-26 19:38:44 [warn] Temp1 76.7, Z 36.500, N 1
2021-03-26 19:38:56 [warn] Temp1 58.0, Z 36.000, N 1
2021-03-26 19:39:08 [warn] Temp1 44.5, Z 35.500, N 1
2021-03-26 19:39:21 [warn] Temp1 38.7, Z 35.000, N 1
2021-03-26 19:39:33 [warn] Temp1 36.5, Z 34.500, N 1
2021-03-26 19:39:45 [warn] Temp1 35.6, Z 34.000, N 1
2021-03-26 19:39:58 [warn] Temp1 35.3, Z 33.500, N 1
2021-03-26 19:40:10 [warn] Temp1 35.0, Z 33.000, N 1
2021-03-26 19:40:22 [warn] Temp1 34.8, Z 32.500, N 1
2021-03-26 19:40:35 [warn] Temp1 34.6, Z 32.000, N 1
2021-03-26 19:40:47 [warn] Temp1 34.5, Z 31.500, N 1
2021-03-26 19:40:59 [warn] Temp1 34.4, Z 31.000, N 1
2021-03-26 19:41:12 [warn] Temp1 34.3, Z 30.500, N 1
2021-03-26 19:41:24 [warn] Temp1 34.3, Z 30.000, N 1
2021-03-26 19:41:36 [warn] Temp1 34.1, Z 29.500, N 1
2021-03-26 19:41:49 [warn] Temp1 34.1, Z 29.000, N 1
2021-03-26 19:42:01 [warn] Temp1 33.9, Z 28.500, N 1
2021-03-26 19:42:13 [warn] Temp1 33.9, Z 28.000, N 1
2021-03-26 19:42:13 [warn] Profile replicate 2
2021-03-26 19:43:03 [warn] Temp1 193.7, Z 50.000, N 2
2021-03-26 19:43:16 [warn] Temp1 193.5, Z 49.500, N 2
2021-03-26 19:43:28 [warn] Temp1 192.9, Z 49.000, N 2
2021-03-26 19:43:40 [warn] Temp1 192.6, Z 48.500, N 2
2021-03-26 19:43:53 [warn] Temp1 191.8, Z 48.000, N 2
2021-03-26 19:44:05 [warn] Temp1 190.9, Z 47.500, N 2
2021-03-26 19:44:17 [warn] Temp1 189.8, Z 47.000, N 2
2021-03-26 19:44:30 [warn] Temp1 188.7, Z 46.500, N 2
2021-03-26 19:44:42 [warn] Temp1 187.1, Z 46.000, N 2
2021-03-26 19:44:54 [warn] Temp1 185.8, Z 45.500, N 2
2021-03-26 19:45:07 [warn] Temp1 183.3, Z 45.000, N 2
2021-03-26 19:45:19 [warn] Temp1 180.2, Z 44.500, N 2
2021-03-26 19:45:31 [warn] Temp1 177.5, Z 44.000, N 2
2021-03-26 19:45:44 [warn] Temp1 177.0, Z 43.500, N 2
2021-03-26 19:45:56 [warn] Temp1 175.3, Z 43.000, N 2
2021-03-26 19:46:08 [warn] Temp1 173.0, Z 42.500, N 2
2021-03-26 19:46:21 [warn] Temp1 171.1, Z 42.000, N 2
2021-03-26 19:46:33 [warn] Temp1 168.7, Z 41.500, N 2
2021-03-26 19:46:45 [warn] Temp1 165.9, Z 41.000, N 2
2021-03-26 19:46:57 [warn] Temp1 163.5, Z 40.500, N 2
2021-03-26 19:47:10 [warn] Temp1 160.3, Z 40.000, N 2
2021-03-26 19:47:22 [warn] Temp1 157.3, Z 39.500, N 2
2021-03-26 19:47:34 [warn] Temp1 153.5, Z 39.000, N 2
2021-03-26 19:47:47 [warn] Temp1 146.1, Z 38.500, N 2
2021-03-26 19:47:59 [warn] Temp1 134.9, Z 38.000, N 2
2021-03-26 19:48:11 [warn] Temp1 117.9, Z 37.500, N 2
2021-03-26 19:48:24 [warn] Temp1 96.6, Z 37.000, N 2
2021-03-26 19:48:36 [warn] Temp1 76.3, Z 36.500, N 2
2021-03-26 19:48:48 [warn] Temp1 58.3, Z 36.000, N 2
2021-03-26 19:49:01 [warn] Temp1 44.7, Z 35.500, N 2
2021-03-26 19:49:13 [warn] Temp1 39.2, Z 35.000, N 2
2021-03-26 19:49:25 [warn] Temp1 37.1, Z 34.500, N 2
2021-03-26 19:49:38 [warn] Temp1 36.2, Z 34.000, N 2
2021-03-26 19:49:50 [warn] Temp1 35.7, Z 33.500, N 2
2021-03-26 19:50:02 [warn] Temp1 35.5, Z 33.000, N 2
2021-03-26 19:50:15 [warn] Temp1 35.3, Z 32.500, N 2
2021-03-26 19:50:27 [warn] Temp1 35.2, Z 32.000, N 2
2021-03-26 19:50:40 [warn] Temp1 35.1, Z 31.500, N 2
2021-03-26 19:50:52 [warn] Temp1 34.9, Z 31.000, N 2
2021-03-26 19:51:04 [warn] Temp1 34.8, Z 30.500, N 2
2021-03-26 19:51:17 [warn] Temp1 34.6, Z 30.000, N 2
2021-03-26 19:51:29 [warn] Temp1 34.5, Z 29.500, N 2
2021-03-26 19:51:41 [warn] Temp1 34.4, Z 29.000, N 2
2021-03-26 19:51:54 [warn] Temp1 34.3, Z 28.500, N 2
2021-03-26 19:52:06 [warn] Temp1 34.2, Z 28.000, N 2
2021-03-26 19:52:06 [warn] Profile replicate 3
2021-03-26 19:52:56 [warn] Temp1 193.7, Z 50.000, N 3
2021-03-26 19:53:08 [warn] Temp1 193.6, Z 49.500, N 3
2021-03-26 19:53:20 [warn] Temp1 193.1, Z 49.000, N 3
2021-03-26 19:53:33 [warn] Temp1 192.6, Z 48.500, N 3
2021-03-26 19:53:45 [warn] Temp1 192.0, Z 48.000, N 3
2021-03-26 19:53:57 [warn] Temp1 190.8, Z 47.500, N 3
