2021-03-26 20:44:21 [info] Event logging started at level warn
2021-03-26 20:44:21 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-03-26 20:45:15 [warn] Beginning heatbreak profile
2021-03-26 20:45:15 [warn] Temp0 220.4
2021-03-26 20:45:15 [warn] Temp1 193.9
2021-03-26 20:45:15 [warn] Temp2 -273.1
2021-03-26 20:45:15 [warn] Profile replicate 1
2021-03-26 20:45:57 [warn] Temp1 193.8, Z 50.000, N 1
2021-03-26 20:46:09 [warn] Temp1 193.7, Z 49.500, N 1
2021-03-26 20:46:22 [warn] Temp1 193.2, Z 49.000, N 1
2021-03-26 20:46:34 [warn] Temp1 192.7, Z 48.500, N 1
2021-03-26 20:46:46 [warn] Temp1 192.2, Z 48.000, N 1
2021-03-26 20:46:59 [warn] Temp1 191.6, Z 47.500, N 1
2021-03-26 20:47:11 [warn] Temp1 190.6, Z 47.000, N 1
2021-03-26 20:47:23 [warn] Temp1 189.6, Z 46.500, N 1
2021-03-26 20:47:36 [warn] Temp1 188.2, Z 46.000, N 1
2021-03-26 20:47:48 [warn] Temp1 186.7, Z 45.500, N 1
2021-03-26 20:48:00 [warn] Temp1 184.9, Z 45.000, N 1
2021-03-26 20:48:13 [warn] Temp1 182.1, Z 44.500, N 1
2021-03-26 20:48:25 [warn] Temp1 179.7, Z 44.000, N 1
2021-03-26 20:48:37 [warn] Temp1 179.5, Z 43.500, N 1
2021-03-26 20:48:50 [warn] Temp1 178.0, Z 43.000, N 1
2021-03-26 20:49:02 [warn] Temp1 175.7, Z 42.500, N 1
2021-03-26 20:49:14 [warn] Temp1 174.0, Z 42.000, N 1
2021-03-26 20:49:27 [warn] Temp1 172.1, Z 41.500, N 1
2021-03-26 20:49:39 [warn] Temp1 170.0, Z 41.000, N 1
2021-03-26 20:49:51 [warn] Temp1 167.9, Z 40.500, N 1
2021-03-26 20:50:04 [warn] Temp1 165.4, Z 40.000, N 1
2021-03-26 20:50:16 [warn] Temp1 163.0, Z 39.500, N 1
2021-03-26 20:50:28 [warn] Temp1 158.8, Z 39.000, N 1
2021-03-26 20:50:41 [warn] Temp1 152.5, Z 38.500, N 1
2021-03-26 20:50:53 [warn] Temp1 143.4, Z 38.000, N 1
2021-03-26 20:51:05 [warn] Temp1 129.1, Z 37.500, N 1
2021-03-26 20:51:18 [warn] Temp1 111.9, Z 37.000, N 1
2021-03-26 20:51:30 [warn] Temp1 95.0, Z 36.500, N 1
2021-03-26 20:51:42 [warn] Temp1 80.1, Z 36.000, N 1
2021-03-26 20:51:55 [warn] Temp1 69.7, Z 35.500, N 1
2021-03-26 20:52:07 [warn] Temp1 65.6, Z 35.000, N 1
2021-03-26 20:52:19 [warn] Temp1 64.3, Z 34.500, N 1
