2021-03-26 17:57:09 [info] Event logging started at level warn
2021-03-26 17:57:09 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-03-26 17:58:09 [warn] Beginning heatbreak profile
2021-03-26 17:58:09 [warn] Temp0 219.1
2021-03-26 17:58:09 [warn] Temp1 193.5
2021-03-26 17:58:09 [warn] Temp2 -273.1
2021-03-26 17:58:09 [warn] Profile replicate 1
2021-03-26 17:58:51 [warn] Temp1 195.5, Z 50.000, N 1
2021-03-26 17:59:03 [warn] Temp1 193.8, Z 49.500, N 1
2021-03-26 17:59:15 [warn] Temp1 192.5, Z 49.000, N 1
2021-03-26 17:59:28 [warn] Temp1 191.1, Z 48.500, N 1
2021-03-26 17:59:40 [warn] Temp1 191.0, Z 48.000, N 1
2021-03-26 17:59:52 [warn] Temp1 190.8, Z 47.500, N 1
2021-03-26 18:00:05 [warn] Temp1 190.0, Z 47.000, N 1
2021-03-26 18:00:17 [warn] Temp1 189.6, Z 46.500, N 1
2021-03-26 18:00:29 [warn] Temp1 188.5, Z 46.000, N 1
2021-03-26 18:00:42 [warn] Temp1 187.3, Z 45.500, N 1
2021-03-26 18:00:54 [warn] Temp1 186.0, Z 45.000, N 1
2021-03-26 18:01:06 [warn] Temp1 184.3, Z 44.500, N 1
2021-03-26 18:01:19 [warn] Temp1 182.7, Z 44.000, N 1
2021-03-26 18:01:31 [warn] Temp1 179.9, Z 43.500, N 1
2021-03-26 18:01:43 [warn] Temp1 177.7, Z 43.000, N 1
2021-03-26 18:01:56 [warn] Temp1 176.1, Z 42.500, N 1
2021-03-26 18:02:08 [warn] Temp1 174.7, Z 42.000, N 1
2021-03-26 18:02:20 [warn] Temp1 172.3, Z 41.500, N 1
2021-03-26 18:02:33 [warn] Temp1 169.5, Z 41.000, N 1
2021-03-26 18:02:45 [warn] Temp1 166.9, Z 40.500, N 1
2021-03-26 18:02:57 [warn] Temp1 164.4, Z 40.000, N 1
2021-03-26 18:03:10 [warn] Temp1 160.4, Z 39.500, N 1
2021-03-26 18:03:22 [warn] Temp1 157.7, Z 39.000, N 1
2021-03-26 18:03:34 [warn] Temp1 151.0, Z 38.500, N 1
2021-03-26 18:03:47 [warn] Temp1 141.5, Z 38.000, N 1
2021-03-26 18:03:59 [warn] Temp1 127.0, Z 37.500, N 1
2021-03-26 18:04:11 [warn] Temp1 105.9, Z 37.000, N 1
2021-03-26 18:04:24 [warn] Temp1 88.3, Z 36.500, N 1
2021-03-26 18:04:36 [warn] Temp1 70.2, Z 36.000, N 1
2021-03-26 18:04:48 [warn] Temp1 51.6, Z 35.500, N 1
2021-03-26 18:05:01 [warn] Temp1 39.5, Z 35.000, N 1
2021-03-26 18:05:13 [warn] Temp1 33.2, Z 34.500, N 1
2021-03-26 18:05:25 [warn] Temp1 30.5, Z 34.000, N 1
2021-03-26 18:05:38 [warn] Temp1 29.5, Z 33.500, N 1
2021-03-26 18:05:50 [warn] Temp1 29.2, Z 33.000, N 1
2021-03-26 18:05:58 [warn] HTTP client 192.168.4.217 login succeeded
2021-03-26 18:05:59 [warn] HTTP client 192.168.4.217 login succeeded
2021-03-26 18:06:02 [warn] Temp1 29.0, Z 32.500, N 1
2021-03-26 18:06:15 [warn] Temp1 28.9, Z 32.000, N 1
2021-03-26 18:06:27 [warn] Temp1 28.8, Z 31.500, N 1
2021-03-26 18:06:39 [warn] Temp1 28.6, Z 31.000, N 1
2021-03-26 18:06:52 [warn] Temp1 28.7, Z 30.500, N 1
2021-03-26 18:07:04 [warn] Temp1 28.5, Z 30.000, N 1
2021-03-26 18:07:16 [warn] Temp1 28.4, Z 29.500, N 1
2021-03-26 18:07:29 [warn] Temp1 28.3, Z 29.000, N 1
2021-03-26 18:07:41 [warn] Temp1 28.4, Z 28.500, N 1
2021-03-26 18:07:53 [warn] Temp1 28.2, Z 28.000, N 1
2021-03-26 18:07:54 [warn] Profile replicate 2
2021-03-26 18:08:43 [warn] Temp1 194.0, Z 50.000, N 2
2021-03-26 18:08:56 [warn] Temp1 194.1, Z 49.500, N 2
2021-03-26 18:09:08 [warn] Temp1 193.6, Z 49.000, N 2
2021-03-26 18:09:20 [warn] Temp1 192.1, Z 48.500, N 2
2021-03-26 18:09:33 [warn] Temp1 191.7, Z 48.000, N 2
2021-03-26 18:09:45 [warn] Temp1 191.1, Z 47.500, N 2
2021-03-26 18:09:57 [warn] Temp1 190.5, Z 47.000, N 2
2021-03-26 18:10:10 [warn] Temp1 190.0, Z 46.500, N 2
2021-03-26 18:10:22 [warn] Temp1 188.6, Z 46.000, N 2
2021-03-26 18:10:34 [warn] Temp1 186.9, Z 45.500, N 2
2021-03-26 18:10:47 [warn] Temp1 185.8, Z 45.000, N 2
2021-03-26 18:10:59 [warn] Temp1 184.3, Z 44.500, N 2
2021-03-26 18:11:11 [warn] Temp1 182.5, Z 44.000, N 2
2021-03-26 18:11:24 [warn] Temp1 179.7, Z 43.500, N 2
2021-03-26 18:11:36 [warn] Temp1 177.6, Z 43.000, N 2
2021-03-26 18:11:48 [warn] Temp1 176.1, Z 42.500, N 2
2021-03-26 18:12:01 [warn] Temp1 175.0, Z 42.000, N 2
2021-03-26 18:12:13 [warn] Temp1 172.2, Z 41.500, N 2
2021-03-26 18:12:25 [warn] Temp1 169.1, Z 41.000, N 2
2021-03-26 18:12:38 [warn] Temp1 166.5, Z 40.500, N 2
2021-03-26 18:12:50 [warn] Temp1 163.8, Z 40.000, N 2
2021-03-26 18:13:02 [warn] Temp1 160.8, Z 39.500, N 2
2021-03-26 18:13:15 [warn] Temp1 156.2, Z 39.000, N 2
2021-03-26 18:13:27 [warn] Temp1 150.0, Z 38.500, N 2
2021-03-26 18:13:39 [warn] Temp1 140.6, Z 38.000, N 2
2021-03-26 18:13:52 [warn] Temp1 125.7, Z 37.500, N 2
2021-03-26 18:14:04 [warn] Temp1 104.3, Z 37.000, N 2
2021-03-26 18:14:16 [warn] Temp1 87.1, Z 36.500, N 2
2021-03-26 18:14:29 [warn] Temp1 69.5, Z 36.000, N 2
2021-03-26 18:14:41 [warn] Temp1 50.8, Z 35.500, N 2
2021-03-26 18:14:53 [warn] Temp1 39.3, Z 35.000, N 2
2021-03-26 18:15:06 [warn] Temp1 32.9, Z 34.500, N 2
2021-03-26 18:15:18 [warn] Temp1 30.4, Z 34.000, N 2
2021-03-26 18:15:30 [warn] Temp1 29.5, Z 33.500, N 2
2021-03-26 18:15:43 [warn] Temp1 29.1, Z 33.000, N 2
2021-03-26 18:15:55 [warn] Temp1 28.9, Z 32.500, N 2
2021-03-26 18:16:07 [warn] Temp1 28.8, Z 32.000, N 2
2021-03-26 18:16:20 [warn] Temp1 28.7, Z 31.500, N 2
2021-03-26 18:16:32 [warn] Temp1 28.6, Z 31.000, N 2
2021-03-26 18:16:44 [warn] Temp1 28.5, Z 30.500, N 2
2021-03-26 18:16:57 [warn] Temp1 28.4, Z 30.000, N 2
2021-03-26 18:17:09 [warn] Temp1 28.4, Z 29.500, N 2
2021-03-26 18:17:21 [warn] Temp1 28.3, Z 29.000, N 2
2021-03-26 18:17:34 [warn] Temp1 28.2, Z 28.500, N 2
2021-03-26 18:17:46 [warn] Temp1 28.2, Z 28.000, N 2
2021-03-26 18:17:46 [warn] Profile replicate 3
2021-03-26 18:18:36 [warn] Temp1 193.9, Z 50.000, N 3
2021-03-26 18:18:48 [warn] Temp1 193.9, Z 49.500, N 3
2021-03-26 18:19:01 [warn] Temp1 193.3, Z 49.000, N 3
2021-03-26 18:19:13 [warn] Temp1 192.1, Z 48.500, N 3
2021-03-26 18:19:25 [warn] Temp1 191.8, Z 48.000, N 3
2021-03-26 18:19:38 [warn] Temp1 191.2, Z 47.500, N 3
2021-03-26 18:19:50 [warn] Temp1 190.6, Z 47.000, N 3
2021-03-26 18:20:02 [warn] Temp1 189.9, Z 46.500, N 3
2021-03-26 18:20:15 [warn] Temp1 188.7, Z 46.000, N 3
2021-03-26 18:20:27 [warn] Temp1 187.2, Z 45.500, N 3
2021-03-26 18:20:39 [warn] Temp1 186.1, Z 45.000, N 3
2021-03-26 18:20:52 [warn] Temp1 184.3, Z 44.500, N 3
2021-03-26 18:21:04 [warn] Temp1 182.6, Z 44.000, N 3
2021-03-26 18:21:16 [warn] Temp1 179.8, Z 43.500, N 3
2021-03-26 18:21:29 [warn] Temp1 177.5, Z 43.000, N 3
2021-03-26 18:21:41 [warn] Temp1 176.8, Z 42.500, N 3
2021-03-26 18:21:53 [warn] Temp1 174.5, Z 42.000, N 3
2021-03-26 18:22:06 [warn] Temp1 172.0, Z 41.500, N 3
2021-03-26 18:22:18 [warn] Temp1 168.7, Z 41.000, N 3
2021-03-26 18:22:30 [warn] Temp1 166.2, Z 40.500, N 3
2021-03-26 18:22:43 [warn] Temp1 163.3, Z 40.000, N 3
2021-03-26 18:22:55 [warn] Temp1 160.6, Z 39.500, N 3
2021-03-26 18:23:07 [warn] Temp1 157.2, Z 39.000, N 3
2021-03-26 18:23:20 [warn] Temp1 149.5, Z 38.500, N 3
2021-03-26 18:23:32 [warn] Temp1 140.7, Z 38.000, N 3
2021-03-26 18:23:44 [warn] Temp1 124.6, Z 37.500, N 3
2021-03-26 18:23:57 [warn] Temp1 103.5, Z 37.000, N 3
2021-03-26 18:24:09 [warn] Temp1 86.5, Z 36.500, N 3
2021-03-26 18:24:21 [warn] Temp1 69.3, Z 36.000, N 3
2021-03-26 18:24:34 [warn] Temp1 50.7, Z 35.500, N 3
2021-03-26 18:24:46 [warn] Temp1 39.0, Z 35.000, N 3
2021-03-26 18:24:58 [warn] Temp1 32.9, Z 34.500, N 3
2021-03-26 18:25:11 [warn] Temp1 30.3, Z 34.000, N 3
2021-03-26 18:25:23 [warn] Temp1 29.4, Z 33.500, N 3
2021-03-26 18:25:35 [warn] Temp1 29.0, Z 33.000, N 3
2021-03-26 18:25:48 [warn] Temp1 28.8, Z 32.500, N 3
2021-03-26 18:26:00 [warn] Temp1 28.8, Z 32.000, N 3
2021-03-26 18:26:12 [warn] Temp1 28.6, Z 31.500, N 3
2021-03-26 18:26:25 [warn] Temp1 28.5, Z 31.000, N 3
2021-03-26 18:26:37 [warn] Temp1 28.5, Z 30.500, N 3
2021-03-26 18:26:49 [warn] Temp1 28.3, Z 30.000, N 3
2021-03-26 18:27:02 [warn] Temp1 28.3, Z 29.500, N 3
2021-03-26 18:27:14 [warn] Temp1 28.2, Z 29.000, N 3
2021-03-26 18:27:26 [warn] Temp1 28.2, Z 28.500, N 3
2021-03-26 18:27:39 [warn] Temp1 28.1, Z 28.000, N 3
2021-03-26 18:27:39 [warn] Ending heatbreak profile
2021-03-26 18:27:39 [info] Event logging stopped
