2021-03-26 18:35:36 [info] Event logging started at level warn
2021-03-26 18:35:36 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-03-26 18:37:21 [warn] Beginning heatbreak profile
2021-03-26 18:37:21 [warn] Temp0 219.1
2021-03-26 18:37:21 [warn] Temp1 193.1
2021-03-26 18:37:21 [warn] Temp2 -273.1
2021-03-26 18:37:21 [warn] Profile replicate 1
2021-03-26 18:38:03 [warn] Temp1 195.9, Z 50.000, N 1
2021-03-26 18:38:15 [warn] Temp1 194.0, Z 49.500, N 1
2021-03-26 18:38:27 [warn] Temp1 192.6, Z 49.000, N 1
2021-03-26 18:38:40 [warn] Temp1 191.5, Z 48.500, N 1
2021-03-26 18:38:52 [warn] Temp1 191.6, Z 48.000, N 1
2021-03-26 18:39:04 [warn] Temp1 191.4, Z 47.500, N 1
2021-03-26 18:39:17 [warn] Temp1 191.4, Z 47.000, N 1
2021-03-26 18:39:29 [warn] Temp1 190.4, Z 46.500, N 1
2021-03-26 18:39:41 [warn] Temp1 189.3, Z 46.000, N 1
2021-03-26 18:39:54 [warn] Temp1 188.1, Z 45.500, N 1
2021-03-26 18:40:06 [warn] Temp1 187.1, Z 45.000, N 1
2021-03-26 18:40:18 [warn] Temp1 185.9, Z 44.500, N 1
2021-03-26 18:40:31 [warn] Temp1 184.2, Z 44.000, N 1
2021-03-26 18:40:43 [warn] Temp1 181.8, Z 43.500, N 1
2021-03-26 18:40:55 [warn] Temp1 179.6, Z 43.000, N 1
2021-03-26 18:41:08 [warn] Temp1 179.1, Z 42.500, N 1
2021-03-26 18:41:20 [warn] Temp1 176.7, Z 42.000, N 1
2021-03-26 18:41:32 [warn] Temp1 175.2, Z 41.500, N 1
2021-03-26 18:41:45 [warn] Temp1 172.8, Z 41.000, N 1
2021-03-26 18:41:57 [warn] Temp1 170.0, Z 40.500, N 1
2021-03-26 18:42:09 [warn] Temp1 167.6, Z 40.000, N 1
2021-03-26 18:42:22 [warn] Temp1 165.2, Z 39.500, N 1
2021-03-26 18:42:34 [warn] Temp1 162.3, Z 39.000, N 1
2021-03-26 18:42:46 [warn] Temp1 156.3, Z 38.500, N 1
2021-03-26 18:42:59 [warn] Temp1 148.6, Z 38.000, N 1
2021-03-26 18:43:11 [warn] Temp1 134.8, Z 37.500, N 1
2021-03-26 18:43:23 [warn] Temp1 117.7, Z 37.000, N 1
2021-03-26 18:43:36 [warn] Temp1 103.4, Z 36.500, N 1
2021-03-26 18:43:48 [warn] Temp1 89.4, Z 36.000, N 1
2021-03-26 18:44:00 [warn] Temp1 74.6, Z 35.500, N 1
2021-03-26 18:44:13 [warn] Temp1 65.2, Z 35.000, N 1
2021-03-26 18:44:25 [warn] Temp1 60.4, Z 34.500, N 1
2021-03-26 18:44:37 [warn] Temp1 58.6, Z 34.000, N 1
2021-03-26 18:44:50 [warn] Temp1 58.2, Z 33.500, N 1
2021-03-26 18:45:02 [warn] Temp1 58.2, Z 33.000, N 1
2021-03-26 18:45:14 [warn] Temp1 58.5, Z 32.500, N 1
2021-03-26 18:45:27 [warn] Temp1 58.8, Z 32.000, N 1
2021-03-26 18:45:39 [warn] Temp1 59.1, Z 31.500, N 1
2021-03-26 18:45:51 [warn] Temp1 59.3, Z 31.000, N 1
2021-03-26 18:46:04 [warn] Temp1 59.6, Z 30.500, N 1
2021-03-26 18:46:16 [warn] Temp1 59.9, Z 30.000, N 1
2021-03-26 18:46:28 [warn] Temp1 60.1, Z 29.500, N 1
2021-03-26 18:46:41 [warn] Temp1 60.4, Z 29.000, N 1
2021-03-26 18:46:53 [warn] Temp1 60.7, Z 28.500, N 1
2021-03-26 18:47:05 [warn] Temp1 60.9, Z 28.000, N 1
2021-03-26 18:47:05 [warn] Profile replicate 2
2021-03-26 18:47:55 [warn] Temp1 194.9, Z 50.000, N 2
2021-03-26 18:48:08 [warn] Temp1 194.8, Z 49.500, N 2
2021-03-26 18:48:20 [warn] Temp1 194.0, Z 49.000, N 2
2021-03-26 18:48:32 [warn] Temp1 193.4, Z 48.500, N 2
2021-03-26 18:48:45 [warn] Temp1 193.3, Z 48.000, N 2
2021-03-26 18:48:57 [warn] Temp1 192.8, Z 47.500, N 2
2021-03-26 18:49:09 [warn] Temp1 192.6, Z 47.000, N 2
2021-03-26 18:49:22 [warn] Temp1 192.1, Z 46.500, N 2
2021-03-26 18:49:34 [warn] Temp1 191.2, Z 46.000, N 2
2021-03-26 18:49:46 [warn] Temp1 190.1, Z 45.500, N 2
2021-03-26 18:49:59 [warn] Temp1 188.9, Z 45.000, N 2
2021-03-26 18:50:11 [warn] Temp1 187.9, Z 44.500, N 2
2021-03-26 18:50:23 [warn] Temp1 186.3, Z 44.000, N 2
2021-03-26 18:50:36 [warn] Temp1 184.2, Z 43.500, N 2
2021-03-26 18:50:48 [warn] Temp1 182.2, Z 43.000, N 2
2021-03-26 18:51:00 [warn] Temp1 181.5, Z 42.500, N 2
2021-03-26 18:51:13 [warn] Temp1 179.3, Z 42.000, N 2
2021-03-26 18:51:25 [warn] Temp1 177.3, Z 41.500, N 2
2021-03-26 18:51:37 [warn] Temp1 175.6, Z 41.000, N 2
2021-03-26 18:51:50 [warn] Temp1 173.3, Z 40.500, N 2
2021-03-26 18:52:02 [warn] Temp1 171.1, Z 40.000, N 2
2021-03-26 18:52:14 [warn] Temp1 168.7, Z 39.500, N 2
2021-03-26 18:52:27 [warn] Temp1 165.5, Z 39.000, N 2
2021-03-26 18:52:39 [warn] Temp1 160.3, Z 38.500, N 2
2021-03-26 18:52:51 [warn] Temp1 152.0, Z 38.000, N 2
2021-03-26 18:53:04 [warn] Temp1 141.2, Z 37.500, N 2
2021-03-26 18:53:16 [warn] Temp1 124.6, Z 37.000, N 2
2021-03-26 18:53:28 [warn] Temp1 111.3, Z 36.500, N 2
2021-03-26 18:53:41 [warn] Temp1 98.1, Z 36.000, N 2
2021-03-26 18:53:53 [warn] Temp1 84.9, Z 35.500, N 2
2021-03-26 18:54:05 [warn] Temp1 76.5, Z 35.000, N 2
2021-03-26 18:54:18 [warn] Temp1 72.2, Z 34.500, N 2
2021-03-26 18:54:30 [warn] Temp1 70.4, Z 34.000, N 2
2021-03-26 18:54:42 [warn] Temp1 69.8, Z 33.500, N 2
2021-03-26 18:54:55 [warn] Temp1 69.6, Z 33.000, N 2
2021-03-26 18:55:07 [warn] Temp1 69.5, Z 32.500, N 2
2021-03-26 18:55:19 [warn] Temp1 69.5, Z 32.000, N 2
2021-03-26 18:55:32 [warn] Temp1 69.4, Z 31.500, N 2
2021-03-26 18:55:44 [warn] Temp1 69.4, Z 31.000, N 2
2021-03-26 18:55:56 [warn] Temp1 69.4, Z 30.500, N 2
2021-03-26 18:56:09 [warn] Temp1 69.4, Z 30.000, N 2
2021-03-26 18:56:21 [warn] Temp1 69.4, Z 29.500, N 2
2021-03-26 18:56:33 [warn] Temp1 69.4, Z 29.000, N 2
2021-03-26 18:56:46 [warn] Temp1 69.4, Z 28.500, N 2
2021-03-26 18:56:58 [warn] Temp1 69.4, Z 28.000, N 2
2021-03-26 18:56:58 [warn] Profile replicate 3
2021-03-26 18:57:48 [warn] Temp1 195.2, Z 50.000, N 3
2021-03-26 18:58:00 [warn] Temp1 195.0, Z 49.500, N 3
2021-03-26 18:58:13 [warn] Temp1 194.1, Z 49.000, N 3
2021-03-26 18:58:25 [warn] Temp1 193.9, Z 48.500, N 3
2021-03-26 18:58:37 [warn] Temp1 193.4, Z 48.000, N 3
2021-03-26 18:58:50 [warn] Temp1 193.1, Z 47.500, N 3
2021-03-26 18:59:02 [warn] Temp1 192.5, Z 47.000, N 3
2021-03-26 18:59:14 [warn] Temp1 192.1, Z 46.500, N 3
2021-03-26 18:59:27 [warn] Temp1 191.2, Z 46.000, N 3
2021-03-26 18:59:39 [warn] Temp1 190.2, Z 45.500, N 3
2021-03-26 18:59:51 [warn] Temp1 189.2, Z 45.000, N 3
2021-03-26 19:00:04 [warn] Temp1 187.9, Z 44.500, N 3
2021-03-26 19:00:16 [warn] Temp1 186.6, Z 44.000, N 3
2021-03-26 19:00:28 [warn] Temp1 184.6, Z 43.500, N 3
2021-03-26 19:00:41 [warn] Temp1 182.6, Z 43.000, N 3
2021-03-26 19:00:53 [warn] Temp1 181.8, Z 42.500, N 3
2021-03-26 19:01:05 [warn] Temp1 180.3, Z 42.000, N 3
2021-03-26 19:01:18 [warn] Temp1 178.5, Z 41.500, N 3
2021-03-26 19:01:30 [warn] Temp1 176.1, Z 41.000, N 3
2021-03-26 19:01:42 [warn] Temp1 174.1, Z 40.500, N 3
2021-03-26 19:01:55 [warn] Temp1 171.3, Z 40.000, N 3
2021-03-26 19:02:07 [warn] Temp1 169.2, Z 39.500, N 3
2021-03-26 19:02:19 [warn] Temp1 166.1, Z 39.000, N 3
2021-03-26 19:02:32 [warn] Temp1 161.0, Z 38.500, N 3
2021-03-26 19:02:44 [warn] Temp1 153.0, Z 38.000, N 3
2021-03-26 19:02:56 [warn] Temp1 141.1, Z 37.500, N 3
2021-03-26 19:03:09 [warn] Temp1 125.3, Z 37.000, N 3
2021-03-26 19:03:21 [warn] Temp1 112.5, Z 36.500, N 3
2021-03-26 19:03:33 [warn] Temp1 99.2, Z 36.000, N 3
2021-03-26 19:03:46 [warn] Temp1 86.9, Z 35.500, N 3
2021-03-26 19:03:58 [warn] Temp1 79.1, Z 35.000, N 3
2021-03-26 19:04:10 [warn] Temp1 75.2, Z 34.500, N 3
2021-03-26 19:04:23 [warn] Temp1 73.6, Z 34.000, N 3
2021-03-26 19:04:35 [warn] Temp1 73.0, Z 33.500, N 3
2021-03-26 19:04:47 [warn] Temp1 72.7, Z 33.000, N 3
2021-03-26 19:05:00 [warn] Temp1 72.6, Z 32.500, N 3
2021-03-26 19:05:12 [warn] Temp1 72.6, Z 32.000, N 3
2021-03-26 19:05:24 [warn] Temp1 72.5, Z 31.500, N 3
2021-03-26 19:05:37 [warn] Temp1 72.4, Z 31.000, N 3
2021-03-26 19:05:49 [warn] Temp1 72.3, Z 30.500, N 3
2021-03-26 19:06:01 [warn] Temp1 72.3, Z 30.000, N 3
2021-03-26 19:06:14 [warn] Temp1 72.2, Z 29.500, N 3
2021-03-26 19:06:26 [warn] Temp1 72.2, Z 29.000, N 3
2021-03-26 19:06:38 [warn] Temp1 72.1, Z 28.500, N 3
2021-03-26 19:06:51 [warn] Temp1 72.1, Z 28.000, N 3
2021-03-26 19:06:51 [warn] Ending heatbreak profile
2021-03-26 19:06:51 [info] Event logging stopped
