2021-03-26 15:09:05 [info] Event logging started at level warn
2021-03-26 15:09:05 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-03-26 15:11:33 [warn] Beginning heatbreak profile
2021-03-26 15:11:33 [warn] Temp0 219.1
2021-03-26 15:11:33 [warn] Temp1 54.6
2021-03-26 15:11:33 [warn] Temp2 -273.1
2021-03-26 15:11:33 [warn] Profile replicate 1
2021-03-26 15:12:15 [warn] Temp1 58.1, Z 50.000, N 1
2021-03-26 15:12:27 [warn] Temp1 129.9, Z 49.500, N 1
2021-03-26 15:12:40 [warn] Temp1 188.8, Z 49.000, N 1
2021-03-26 15:12:52 [warn] Temp1 189.1, Z 48.500, N 1
2021-03-26 15:13:04 [warn] Temp1 188.5, Z 48.000, N 1
2021-03-26 15:13:17 [warn] Temp1 187.7, Z 47.500, N 1
2021-03-26 15:13:29 [warn] Temp1 186.4, Z 47.000, N 1
2021-03-26 15:13:41 [warn] Temp1 185.1, Z 46.500, N 1
2021-03-26 15:13:54 [warn] Temp1 183.7, Z 46.000, N 1
2021-03-26 15:14:06 [warn] Temp1 182.5, Z 45.500, N 1
2021-03-26 15:14:18 [warn] Temp1 181.5, Z 45.000, N 1
2021-03-26 15:14:31 [warn] Temp1 180.2, Z 44.500, N 1
2021-03-26 15:14:43 [warn] Temp1 178.5, Z 44.000, N 1
2021-03-26 15:14:55 [warn] Temp1 176.3, Z 43.500, N 1
2021-03-26 15:15:08 [warn] Temp1 173.6, Z 43.000, N 1
2021-03-26 15:15:20 [warn] Temp1 169.1, Z 42.500, N 1
2021-03-26 15:15:32 [warn] Temp1 166.1, Z 42.000, N 1
2021-03-26 15:15:45 [warn] Temp1 163.5, Z 41.500, N 1
2021-03-26 15:15:57 [warn] Temp1 160.3, Z 41.000, N 1
2021-03-26 15:16:09 [warn] Temp1 156.7, Z 40.500, N 1
2021-03-26 15:16:22 [warn] Temp1 152.8, Z 40.000, N 1
2021-03-26 15:16:34 [warn] Temp1 148.5, Z 39.500, N 1
2021-03-26 15:16:46 [warn] Temp1 143.3, Z 39.000, N 1
2021-03-26 15:16:59 [warn] Temp1 137.2, Z 38.500, N 1
2021-03-26 15:17:11 [warn] Temp1 129.4, Z 38.000, N 1
2021-03-26 15:17:23 [warn] Temp1 118.7, Z 37.500, N 1
2021-03-26 15:17:36 [warn] Temp1 104.6, Z 37.000, N 1
2021-03-26 15:17:48 [warn] Temp1 89.6, Z 36.500, N 1
2021-03-26 15:18:00 [warn] Temp1 74.1, Z 36.000, N 1
2021-03-26 15:18:13 [warn] Temp1 59.3, Z 35.500, N 1
2021-03-26 15:18:25 [warn] Temp1 49.3, Z 35.000, N 1
2021-03-26 15:18:37 [warn] Temp1 42.9, Z 34.500, N 1
2021-03-26 15:18:50 [warn] Temp1 39.0, Z 34.000, N 1
2021-03-26 15:19:02 [warn] Temp1 36.6, Z 33.500, N 1
2021-03-26 15:19:14 [warn] Temp1 35.0, Z 33.000, N 1
2021-03-26 15:19:27 [warn] Temp1 33.9, Z 32.500, N 1
2021-03-26 15:19:39 [warn] Temp1 33.0, Z 32.000, N 1
2021-03-26 15:19:51 [warn] Temp1 32.6, Z 31.500, N 1
2021-03-26 15:20:04 [warn] Temp1 32.1, Z 31.000, N 1
