2021-03-26 15:46:53 [info] Event logging started at level warn
2021-03-26 15:46:53 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-03-26 15:48:05 [warn] Beginning heatbreak profile
2021-03-26 15:48:05 [warn] Temp0 219.0
2021-03-26 15:48:05 [warn] Temp1 192.0
2021-03-26 15:48:05 [warn] Temp2 -273.1
2021-03-26 15:48:05 [warn] Profile replicate 1
2021-03-26 15:48:47 [warn] Temp1 194.7, Z 50.000, N 1
2021-03-26 15:48:59 [warn] Temp1 192.6, Z 49.500, N 1
2021-03-26 15:49:12 [warn] Temp1 190.6, Z 49.000, N 1
2021-03-26 15:49:24 [warn] Temp1 189.9, Z 48.500, N 1
2021-03-26 15:49:36 [warn] Temp1 189.5, Z 48.000, N 1
2021-03-26 15:49:49 [warn] Temp1 188.8, Z 47.500, N 1
2021-03-26 15:50:01 [warn] Temp1 187.9, Z 47.000, N 1
2021-03-26 15:50:13 [warn] Temp1 186.7, Z 46.500, N 1
2021-03-26 15:50:26 [warn] Temp1 185.2, Z 46.000, N 1
2021-03-26 15:50:38 [warn] Temp1 184.1, Z 45.500, N 1
2021-03-26 15:50:50 [warn] Temp1 183.1, Z 45.000, N 1
2021-03-26 15:51:03 [warn] Temp1 182.0, Z 44.500, N 1
2021-03-26 15:51:15 [warn] Temp1 180.4, Z 44.000, N 1
2021-03-26 15:51:27 [warn] Temp1 178.3, Z 43.500, N 1
2021-03-26 15:51:40 [warn] Temp1 175.5, Z 43.000, N 1
2021-03-26 15:51:52 [warn] Temp1 171.1, Z 42.500, N 1
2021-03-26 15:52:04 [warn] Temp1 168.4, Z 42.000, N 1
2021-03-26 15:52:17 [warn] Temp1 166.0, Z 41.500, N 1
2021-03-26 15:52:29 [warn] Temp1 162.8, Z 41.000, N 1
2021-03-26 15:52:41 [warn] Temp1 159.4, Z 40.500, N 1
2021-03-26 15:52:54 [warn] Temp1 156.5, Z 40.000, N 1
2021-03-26 15:53:06 [warn] Temp1 153.4, Z 39.500, N 1
2021-03-26 15:53:18 [warn] Temp1 149.4, Z 39.000, N 1
2021-03-26 15:53:31 [warn] Temp1 143.3, Z 38.500, N 1
2021-03-26 15:53:43 [warn] Temp1 136.4, Z 38.000, N 1
2021-03-26 15:53:55 [warn] Temp1 126.4, Z 37.500, N 1
2021-03-26 15:54:08 [warn] Temp1 114.5, Z 37.000, N 1
2021-03-26 15:54:20 [warn] Temp1 102.3, Z 36.500, N 1
2021-03-26 15:54:32 [warn] Temp1 89.8, Z 36.000, N 1
2021-03-26 15:54:45 [warn] Temp1 78.2, Z 35.500, N 1
2021-03-26 15:54:57 [warn] Temp1 70.8, Z 35.000, N 1
2021-03-26 15:55:09 [warn] Temp1 66.5, Z 34.500, N 1
2021-03-26 15:55:22 [warn] Temp1 64.1, Z 34.000, N 1
2021-03-26 15:55:34 [warn] Temp1 62.8, Z 33.500, N 1
2021-03-26 15:55:46 [warn] Temp1 62.1, Z 33.000, N 1
2021-03-26 15:55:59 [warn] Temp1 61.8, Z 32.500, N 1
2021-03-26 15:56:11 [warn] Temp1 61.6, Z 32.000, N 1
2021-03-26 15:56:23 [warn] Temp1 61.7, Z 31.500, N 1
2021-03-26 15:56:36 [warn] Temp1 61.8, Z 31.000, N 1
2021-03-26 15:56:48 [warn] Temp1 62.0, Z 30.500, N 1
2021-03-26 15:57:00 [warn] Temp1 62.2, Z 30.000, N 1
2021-03-26 15:57:13 [warn] Temp1 62.5, Z 29.500, N 1
2021-03-26 15:57:25 [warn] Temp1 62.8, Z 29.000, N 1
2021-03-26 15:57:37 [warn] Temp1 63.0, Z 28.500, N 1
2021-03-26 15:57:50 [warn] Temp1 63.3, Z 28.000, N 1
2021-03-26 15:58:02 [warn] Temp1 63.6, Z 27.500, N 1
2021-03-26 15:58:14 [warn] Temp1 63.7, Z 27.000, N 1
2021-03-26 15:58:27 [warn] Temp1 63.9, Z 26.500, N 1
2021-03-26 15:58:39 [warn] Temp1 64.0, Z 26.000, N 1
2021-03-26 15:58:51 [warn] Temp1 64.1, Z 25.500, N 1
2021-03-26 15:59:04 [warn] Temp1 64.3, Z 25.000, N 1
2021-03-26 15:59:16 [warn] Temp1 64.5, Z 24.500, N 1
2021-03-26 15:59:28 [warn] Temp1 64.8, Z 24.000, N 1
2021-03-26 15:59:41 [warn] Temp1 64.6, Z 23.500, N 1
2021-03-26 15:59:53 [warn] Temp1 63.6, Z 23.000, N 1
2021-03-26 16:00:05 [warn] Temp1 61.0, Z 22.500, N 1
2021-03-26 16:00:18 [warn] Temp1 57.9, Z 22.000, N 1
2021-03-26 16:00:30 [warn] Temp1 54.4, Z 21.500, N 1
2021-03-26 16:00:42 [warn] Temp1 51.2, Z 21.000, N 1
2021-03-26 16:00:55 [warn] Temp1 48.4, Z 20.500, N 1
2021-03-26 16:01:07 [warn] Temp1 45.9, Z 20.000, N 1
2021-03-26 16:01:19 [warn] Temp1 43.7, Z 19.500, N 1
2021-03-26 16:01:32 [warn] Temp1 41.8, Z 19.000, N 1
2021-03-26 16:01:44 [warn] Temp1 40.2, Z 18.500, N 1
2021-03-26 16:01:56 [warn] Temp1 38.7, Z 18.000, N 1
2021-03-26 16:01:56 [warn] Profile replicate 2
2021-03-26 16:02:50 [warn] Temp1 195.1, Z 50.000, N 2
2021-03-26 16:03:02 [warn] Temp1 194.0, Z 49.500, N 2
2021-03-26 16:03:14 [warn] Temp1 192.4, Z 49.000, N 2
2021-03-26 16:03:27 [warn] Temp1 191.4, Z 48.500, N 2
2021-03-26 16:03:39 [warn] Temp1 190.4, Z 48.000, N 2
2021-03-26 16:03:51 [warn] Temp1 189.7, Z 47.500, N 2
2021-03-26 16:04:04 [warn] Temp1 188.8, Z 47.000, N 2
2021-03-26 16:04:16 [warn] Temp1 187.9, Z 46.500, N 2
2021-03-26 16:04:28 [warn] Temp1 186.9, Z 46.000, N 2
2021-03-26 16:04:41 [warn] Temp1 185.8, Z 45.500, N 2
2021-03-26 16:04:53 [warn] Temp1 185.1, Z 45.000, N 2
2021-03-26 16:05:05 [warn] Temp1 183.6, Z 44.500, N 2
2021-03-26 16:05:18 [warn] Temp1 182.2, Z 44.000, N 2
2021-03-26 16:05:30 [warn] Temp1 180.2, Z 43.500, N 2
2021-03-26 16:05:42 [warn] Temp1 177.2, Z 43.000, N 2
2021-03-26 16:05:55 [warn] Temp1 173.2, Z 42.500, N 2
2021-03-26 16:06:07 [warn] Temp1 170.5, Z 42.000, N 2
2021-03-26 16:06:19 [warn] Temp1 168.0, Z 41.500, N 2
2021-03-26 16:06:32 [warn] Temp1 164.9, Z 41.000, N 2
2021-03-26 16:06:44 [warn] Temp1 161.7, Z 40.500, N 2
2021-03-26 16:06:56 [warn] Temp1 158.3, Z 40.000, N 2
