2021-07-09 22:43:40 [info] Event logging started at level warn
2021-07-09 22:43:40 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-07-09 22:45:24 [warn] Beginning heatbreak profile
2021-07-09 22:45:24 [warn] Temp0 219.5
2021-07-09 22:45:24 [warn] Temp1 26.5
2021-07-09 22:45:24 [warn] Temp2 208.8
2021-07-09 22:45:24 [warn] Profile replicate 1
2021-07-09 22:46:06 [warn] Temp1 212.1, Z 50.000, N 1
2021-07-09 22:46:18 [warn] Temp1 209.6, Z 49.500, N 1
2021-07-09 22:46:31 [warn] Temp1 207.7, Z 49.000, N 1
2021-07-09 22:46:43 [warn] Temp1 206.4, Z 48.500, N 1
2021-07-09 22:46:55 [warn] Temp1 205.5, Z 48.000, N 1
2021-07-09 22:47:08 [warn] Temp1 204.4, Z 47.500, N 1
2021-07-09 22:47:20 [warn] Temp1 202.8, Z 47.000, N 1
2021-07-09 22:47:32 [warn] Temp1 201.0, Z 46.500, N 1
2021-07-09 22:47:45 [warn] Temp1 199.6, Z 46.000, N 1
2021-07-09 22:47:57 [warn] Temp1 197.7, Z 45.500, N 1
2021-07-09 22:48:09 [warn] Temp1 195.7, Z 45.000, N 1
2021-07-09 22:48:22 [warn] Temp1 193.0, Z 44.500, N 1
2021-07-09 22:48:34 [warn] Temp1 189.1, Z 44.000, N 1
2021-07-09 22:48:46 [warn] Temp1 184.5, Z 43.500, N 1
2021-07-09 22:48:59 [warn] Temp1 183.0, Z 43.000, N 1
2021-07-09 22:49:11 [warn] Temp1 179.1, Z 42.500, N 1
2021-07-09 22:49:23 [warn] Temp1 175.9, Z 42.000, N 1
2021-07-09 22:49:36 [warn] Temp1 171.8, Z 41.500, N 1
2021-07-09 22:49:48 [warn] Temp1 166.9, Z 41.000, N 1
2021-07-09 22:50:00 [warn] Temp1 161.6, Z 40.500, N 1
2021-07-09 22:50:13 [warn] Temp1 155.0, Z 40.000, N 1
2021-07-09 22:50:25 [warn] Temp1 147.4, Z 39.500, N 1
2021-07-09 22:50:37 [warn] Temp1 138.4, Z 39.000, N 1
2021-07-09 22:50:50 [warn] Temp1 127.1, Z 38.500, N 1
2021-07-09 22:51:02 [warn] Temp1 113.4, Z 38.000, N 1
2021-07-09 22:51:14 [warn] Temp1 98.6, Z 37.500, N 1
2021-07-09 22:51:27 [warn] Temp1 84.6, Z 37.000, N 1
2021-07-09 22:51:39 [warn] Temp1 72.0, Z 36.500, N 1
2021-07-09 22:51:51 [warn] Temp1 61.6, Z 36.000, N 1
2021-07-09 22:52:04 [warn] Temp1 54.5, Z 35.500, N 1
2021-07-09 22:52:16 [warn] Temp1 49.7, Z 35.000, N 1
2021-07-09 22:52:28 [warn] Temp1 46.7, Z 34.500, N 1
2021-07-09 22:52:41 [warn] Temp1 44.5, Z 34.000, N 1
2021-07-09 22:52:53 [warn] Temp1 43.1, Z 33.500, N 1
2021-07-09 22:53:05 [warn] Temp1 41.9, Z 33.000, N 1
2021-07-09 22:53:18 [warn] Temp1 41.3, Z 32.500, N 1
2021-07-09 22:53:30 [warn] Temp1 40.8, Z 32.000, N 1
2021-07-09 22:53:42 [warn] Temp1 40.3, Z 31.500, N 1
2021-07-09 22:53:55 [warn] Temp1 39.9, Z 31.000, N 1
2021-07-09 22:54:07 [warn] Temp1 39.7, Z 30.500, N 1
2021-07-09 22:54:19 [warn] Temp1 39.4, Z 30.000, N 1
2021-07-09 22:54:32 [warn] Temp1 39.3, Z 29.500, N 1
2021-07-09 22:54:44 [warn] Temp1 39.2, Z 29.000, N 1
2021-07-09 22:54:56 [warn] Temp1 38.9, Z 28.500, N 1
2021-07-09 22:55:09 [warn] Temp1 38.9, Z 28.000, N 1
2021-07-09 22:55:09 [warn] Profile replicate 2
2021-07-09 22:55:59 [warn] Temp1 210.1, Z 50.000, N 2
2021-07-09 22:56:11 [warn] Temp1 209.5, Z 49.500, N 2
2021-07-09 22:56:23 [warn] Temp1 208.6, Z 49.000, N 2
2021-07-09 22:56:36 [warn] Temp1 207.5, Z 48.500, N 2
2021-07-09 22:56:48 [warn] Temp1 206.1, Z 48.000, N 2
2021-07-09 22:57:00 [warn] Temp1 204.3, Z 47.500, N 2
2021-07-09 22:57:13 [warn] Temp1 203.1, Z 47.000, N 2
2021-07-09 22:57:25 [warn] Temp1 201.0, Z 46.500, N 2
2021-07-09 22:57:37 [warn] Temp1 199.7, Z 46.000, N 2
2021-07-09 22:57:50 [warn] Temp1 197.9, Z 45.500, N 2
2021-07-09 22:58:02 [warn] Temp1 195.7, Z 45.000, N 2
2021-07-09 22:58:14 [warn] Temp1 193.3, Z 44.500, N 2
2021-07-09 22:58:27 [warn] Temp1 189.2, Z 44.000, N 2
2021-07-09 22:58:39 [warn] Temp1 184.7, Z 43.500, N 2
2021-07-09 22:58:51 [warn] Temp1 182.8, Z 43.000, N 2
2021-07-09 22:59:04 [warn] Temp1 179.4, Z 42.500, N 2
2021-07-09 22:59:16 [warn] Temp1 176.0, Z 42.000, N 2
2021-07-09 22:59:28 [warn] Temp1 172.0, Z 41.500, N 2
2021-07-09 22:59:41 [warn] Temp1 167.1, Z 41.000, N 2
2021-07-09 22:59:53 [warn] Temp1 161.8, Z 40.500, N 2
2021-07-09 23:00:05 [warn] Temp1 155.2, Z 40.000, N 2
2021-07-09 23:00:18 [warn] Temp1 147.8, Z 39.500, N 2
2021-07-09 23:00:30 [warn] Temp1 138.8, Z 39.000, N 2
2021-07-09 23:00:42 [warn] Temp1 126.6, Z 38.500, N 2
2021-07-09 23:00:55 [warn] Temp1 114.0, Z 38.000, N 2
2021-07-09 23:01:07 [warn] Temp1 99.4, Z 37.500, N 2
2021-07-09 23:01:19 [warn] Temp1 84.9, Z 37.000, N 2
2021-07-09 23:01:32 [warn] Temp1 72.2, Z 36.500, N 2
2021-07-09 23:01:44 [warn] Temp1 61.9, Z 36.000, N 2
2021-07-09 23:01:56 [warn] Temp1 54.7, Z 35.500, N 2
2021-07-09 23:02:09 [warn] Temp1 49.8, Z 35.000, N 2
2021-07-09 23:02:21 [warn] Temp1 46.6, Z 34.500, N 2
2021-07-09 23:02:33 [warn] Temp1 44.6, Z 34.000, N 2
2021-07-09 23:02:46 [warn] Temp1 43.0, Z 33.500, N 2
2021-07-09 23:02:58 [warn] Temp1 42.0, Z 33.000, N 2
