2021-07-10 20:22:16 [info] Event logging started at level warn
2021-07-10 20:22:16 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-10 20:25:17 [warn] Beginning heatbreak profile
2021-07-10 20:25:17 [warn] Temp0 219.0
2021-07-10 20:25:17 [warn] Temp1 26.9
2021-07-10 20:25:17 [warn] Temp2 24.2
2021-07-10 20:25:17 [warn] Temp3 41.5
2021-07-10 20:25:17 [warn] Profile replicate 1
2021-07-10 20:25:59 [warn] Temp1 229.2, Z 50.000, N 1
2021-07-10 20:26:11 [warn] Temp1 227.8, Z 49.500, N 1
2021-07-10 20:26:23 [warn] Temp1 226.5, Z 49.000, N 1
2021-07-10 20:26:36 [warn] Temp1 225.8, Z 48.500, N 1
2021-07-10 20:26:48 [warn] Temp1 226.0, Z 48.000, N 1
2021-07-10 20:27:00 [warn] Temp1 226.2, Z 47.500, N 1
2021-07-10 20:27:13 [warn] Temp1 226.5, Z 47.000, N 1
2021-07-10 20:27:25 [warn] Temp1 227.0, Z 46.500, N 1
2021-07-10 20:27:37 [warn] Temp1 227.2, Z 46.000, N 1
2021-07-10 20:27:50 [warn] Temp1 227.2, Z 45.500, N 1
2021-07-10 20:28:02 [warn] Temp1 227.2, Z 45.000, N 1
2021-07-10 20:28:14 [warn] Temp1 226.5, Z 44.500, N 1
2021-07-10 20:28:27 [warn] Temp1 227.0, Z 44.000, N 1
2021-07-10 20:28:39 [warn] Temp1 226.5, Z 43.500, N 1
2021-07-10 20:28:51 [warn] Temp1 226.8, Z 43.000, N 1
2021-07-10 20:29:04 [warn] Temp1 226.2, Z 42.500, N 1
2021-07-10 20:29:16 [warn] Temp1 226.5, Z 42.000, N 1
2021-07-10 20:29:28 [warn] Temp1 226.5, Z 41.500, N 1
2021-07-10 20:29:41 [warn] Temp1 225.8, Z 41.000, N 1
2021-07-10 20:29:53 [warn] Temp1 226.0, Z 40.500, N 1
2021-07-10 20:30:05 [warn] Temp1 224.8, Z 40.000, N 1
2021-07-10 20:30:18 [warn] Temp1 224.5, Z 39.500, N 1
2021-07-10 20:30:30 [warn] Temp1 223.2, Z 39.000, N 1
2021-07-10 20:30:42 [warn] Temp1 221.5, Z 38.500, N 1
2021-07-10 20:30:55 [warn] Temp1 219.5, Z 38.000, N 1
2021-07-10 20:31:07 [warn] Temp1 215.5, Z 37.500, N 1
2021-07-10 20:31:19 [warn] Temp1 210.0, Z 37.000, N 1
2021-07-10 20:31:32 [warn] Temp1 203.5, Z 36.500, N 1
2021-07-10 20:31:44 [warn] Temp1 194.5, Z 36.000, N 1
2021-07-10 20:31:56 [warn] Temp1 182.2, Z 35.500, N 1
2021-07-10 20:32:09 [warn] Temp1 165.5, Z 35.000, N 1
2021-07-10 20:32:21 [warn] Temp1 144.0, Z 34.500, N 1
2021-07-10 20:32:33 [warn] Temp1 121.0, Z 34.000, N 1
2021-07-10 20:32:46 [warn] Temp1 98.5, Z 33.500, N 1
2021-07-10 20:32:58 [warn] Temp1 78.0, Z 33.000, N 1
2021-07-10 20:33:10 [warn] Temp1 64.8, Z 32.500, N 1
2021-07-10 20:33:23 [warn] Temp1 57.0, Z 32.000, N 1
2021-07-10 20:33:35 [warn] Temp1 53.8, Z 31.500, N 1
2021-07-10 20:33:47 [warn] Temp1 52.8, Z 31.000, N 1
2021-07-10 20:34:00 [warn] Temp1 52.2, Z 30.500, N 1
2021-07-10 20:34:12 [warn] Temp1 51.5, Z 30.000, N 1
2021-07-10 20:34:24 [warn] Temp1 51.2, Z 29.500, N 1
2021-07-10 20:34:37 [warn] Temp1 51.2, Z 29.000, N 1
2021-07-10 20:34:49 [warn] Temp1 51.2, Z 28.500, N 1
2021-07-10 20:35:01 [warn] Temp1 51.2, Z 28.000, N 1
2021-07-10 20:35:01 [warn] Profile replicate 2
2021-07-10 20:35:51 [warn] Temp1 226.2, Z 50.000, N 2
2021-07-10 20:36:04 [warn] Temp1 226.5, Z 49.500, N 2
2021-07-10 20:36:16 [warn] Temp1 226.8, Z 49.000, N 2
2021-07-10 20:36:28 [warn] Temp1 227.0, Z 48.500, N 2
2021-07-10 20:36:41 [warn] Temp1 226.2, Z 48.000, N 2
2021-07-10 20:36:53 [warn] Temp1 227.2, Z 47.500, N 2
2021-07-10 20:37:05 [warn] Temp1 226.8, Z 47.000, N 2
2021-07-10 20:37:18 [warn] Temp1 226.5, Z 46.500, N 2
2021-07-10 20:37:30 [warn] Temp1 227.2, Z 46.000, N 2
2021-07-10 20:37:42 [warn] Temp1 227.0, Z 45.500, N 2
2021-07-10 20:37:55 [warn] Temp1 227.0, Z 45.000, N 2
2021-07-10 20:38:07 [warn] Temp1 227.2, Z 44.500, N 2
2021-07-10 20:38:19 [warn] Temp1 227.0, Z 44.000, N 2
2021-07-10 20:38:31 [warn] Temp1 227.0, Z 43.500, N 2
2021-07-10 20:38:44 [warn] Temp1 227.0, Z 43.000, N 2
2021-07-10 20:38:56 [warn] Temp1 227.0, Z 42.500, N 2
2021-07-10 20:39:08 [warn] Temp1 226.8, Z 42.000, N 2
2021-07-10 20:39:21 [warn] Temp1 226.0, Z 41.500, N 2
2021-07-10 20:39:33 [warn] Temp1 226.5, Z 41.000, N 2
