2021-07-10 18:26:28 [info] Event logging started at level warn
2021-07-10 18:26:28 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-10 18:26:53 [warn] Error: Failed to enable endstops
2021-07-10 18:28:23 [info] Event logging stopped
2021-07-10 18:28:23 [info] Event logging started at level warn
2021-07-10 18:28:23 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-10 18:29:14 [warn] Beginning heatbreak profile
2021-07-10 18:29:14 [warn] Temp0 19.9
2021-07-10 18:29:14 [warn] Temp1 25.7
2021-07-10 18:29:14 [warn] Temp2 25.1
2021-07-10 18:29:14 [warn] Temp3 31.2
2021-07-10 18:29:14 [warn] Profile replicate 1
2021-07-10 18:29:36 [info] Event logging stopped
2021-07-10 18:33:24 [info] Event logging started at level warn
2021-07-10 18:33:24 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-10 18:35:50 [warn] Beginning heatbreak profile
2021-07-10 18:35:50 [warn] Temp0 219.1
2021-07-10 18:35:50 [warn] Temp1 26.3
2021-07-10 18:35:50 [warn] Temp2 25.5
2021-07-10 18:35:50 [warn] Temp3 213.2
2021-07-10 18:35:50 [warn] Profile replicate 1
2021-07-10 18:36:32 [warn] Temp1 216.8, Z 50.000, N 1
2021-07-10 18:36:45 [warn] Temp1 214.5, Z 49.500, N 1
2021-07-10 18:36:57 [warn] Temp1 215.0, Z 49.000, N 1
2021-07-10 18:37:09 [warn] Temp1 214.5, Z 48.500, N 1
2021-07-10 18:37:22 [warn] Temp1 214.2, Z 48.000, N 1
2021-07-10 18:37:34 [warn] Temp1 215.0, Z 47.500, N 1
2021-07-10 18:37:46 [warn] Temp1 215.5, Z 47.000, N 1
2021-07-10 18:37:59 [warn] Temp1 214.8, Z 46.500, N 1
2021-07-10 18:38:11 [warn] Temp1 215.2, Z 46.000, N 1
2021-07-10 18:38:23 [warn] Temp1 215.0, Z 45.500, N 1
2021-07-10 18:38:36 [warn] Temp1 215.5, Z 45.000, N 1
2021-07-10 18:38:48 [warn] Temp1 215.2, Z 44.500, N 1
2021-07-10 18:39:00 [warn] Temp1 215.2, Z 44.000, N 1
2021-07-10 18:39:13 [warn] Temp1 215.2, Z 43.500, N 1
2021-07-10 18:39:25 [warn] Temp1 215.2, Z 43.000, N 1
2021-07-10 18:39:37 [warn] Temp1 215.2, Z 42.500, N 1
2021-07-10 18:39:50 [warn] Temp1 215.2, Z 42.000, N 1
2021-07-10 18:40:02 [warn] Temp1 215.5, Z 41.500, N 1
2021-07-10 18:40:14 [warn] Temp1 215.0, Z 41.000, N 1
2021-07-10 18:40:27 [warn] Temp1 214.8, Z 40.500, N 1
2021-07-10 18:40:39 [warn] Temp1 214.5, Z 40.000, N 1
2021-07-10 18:40:51 [warn] Temp1 214.5, Z 39.500, N 1
2021-07-10 18:41:04 [warn] Temp1 213.5, Z 39.000, N 1
2021-07-10 18:41:16 [warn] Temp1 213.0, Z 38.500, N 1
2021-07-10 18:41:28 [warn] Temp1 211.2, Z 38.000, N 1
2021-07-10 18:41:41 [warn] Temp1 208.5, Z 37.500, N 1
2021-07-10 18:41:53 [warn] Temp1 206.0, Z 37.000, N 1
2021-07-10 18:42:05 [warn] Temp1 201.5, Z 36.500, N 1
2021-07-10 18:42:18 [warn] Temp1 196.0, Z 36.000, N 1
2021-07-10 18:42:30 [warn] Temp1 187.2, Z 35.500, N 1
2021-07-10 18:42:42 [warn] Temp1 175.0, Z 35.000, N 1
2021-07-10 18:42:55 [warn] Temp1 158.0, Z 34.500, N 1
2021-07-10 18:43:07 [warn] Temp1 135.5, Z 34.000, N 1
2021-07-10 18:43:19 [warn] Temp1 111.2, Z 33.500, N 1
2021-07-10 18:43:32 [warn] Temp1 88.8, Z 33.000, N 1
2021-07-10 18:43:44 [warn] Temp1 70.8, Z 32.500, N 1
2021-07-10 18:43:56 [warn] Temp1 59.2, Z 32.000, N 1
2021-07-10 18:44:09 [warn] Temp1 54.2, Z 31.500, N 1
2021-07-10 18:44:21 [warn] Temp1 52.0, Z 31.000, N 1
2021-07-10 18:44:33 [warn] Temp1 51.8, Z 30.500, N 1
2021-07-10 18:44:46 [warn] Temp1 51.0, Z 30.000, N 1
2021-07-10 18:44:58 [warn] Temp1 50.8, Z 29.500, N 1
2021-07-10 18:45:10 [warn] Temp1 50.8, Z 29.000, N 1
2021-07-10 18:45:23 [warn] Temp1 50.5, Z 28.500, N 1
2021-07-10 18:45:35 [warn] Temp1 50.5, Z 28.000, N 1
2021-07-10 18:45:35 [warn] Profile replicate 2
2021-07-10 18:46:25 [warn] Temp1 215.0, Z 50.000, N 2
2021-07-10 18:46:37 [warn] Temp1 215.5, Z 49.500, N 2
2021-07-10 18:46:50 [warn] Temp1 215.5, Z 49.000, N 2
2021-07-10 18:47:02 [warn] Temp1 215.2, Z 48.500, N 2
2021-07-10 18:47:14 [warn] Temp1 215.0, Z 48.000, N 2
2021-07-10 18:47:27 [warn] Temp1 215.5, Z 47.500, N 2
2021-07-10 18:47:39 [warn] Temp1 215.8, Z 47.000, N 2
2021-07-10 18:47:51 [warn] Temp1 215.8, Z 46.500, N 2
2021-07-10 18:48:04 [warn] Temp1 215.5, Z 46.000, N 2
2021-07-10 18:48:16 [warn] Temp1 215.8, Z 45.500, N 2
