
2021-07-10 21:02:00 [info] Event logging started at level warn
2021-07-10 21:02:00 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-10 21:04:02 [warn] Beginning heatbreak profile
2021-07-10 21:04:02 [warn] Temp0 219.2
2021-07-10 21:04:02 [warn] Temp1 26.8
2021-07-10 21:04:02 [warn] Temp2 24.1
2021-07-10 21:04:02 [warn] Temp2 222.5
2021-07-10 21:04:02 [warn] Profile replicate 1
2021-07-10 21:04:44 [warn] Temp1 230.8, Z 50.000, N 1
2021-07-10 21:04:57 [warn] Temp1 228.0, Z 49.500, N 1
2021-07-10 21:05:09 [warn] Temp1 226.8, Z 49.000, N 1
2021-07-10 21:05:21 [warn] Temp1 226.0, Z 48.500, N 1
2021-07-10 21:05:34 [warn] Temp1 225.8, Z 48.000, N 1
2021-07-10 21:05:46 [warn] Temp1 226.5, Z 47.500, N 1
2021-07-10 21:05:58 [warn] Temp1 226.8, Z 47.000, N 1
2021-07-10 21:06:11 [warn] Temp1 226.8, Z 46.500, N 1
2021-07-10 21:06:23 [warn] Temp1 227.0, Z 46.000, N 1
2021-07-10 21:06:35 [warn] Temp1 227.2, Z 45.500, N 1
2021-07-10 21:06:48 [warn] Temp1 227.2, Z 45.000, N 1
2021-07-10 21:07:00 [warn] Temp1 227.0, Z 44.500, N 1
2021-07-10 21:07:12 [warn] Temp1 226.8, Z 44.000, N 1
2021-07-10 21:07:25 [warn] Temp1 226.8, Z 43.500, N 1
2021-07-10 21:07:37 [warn] Temp1 226.8, Z 43.000, N 1
2021-07-10 21:07:49 [warn] Temp1 226.8, Z 42.500, N 1
2021-07-10 21:08:02 [warn] Temp1 227.2, Z 42.000, N 1
2021-07-10 21:08:14 [warn] Temp1 227.0, Z 41.500, N 1
2021-07-10 21:08:26 [warn] Temp1 226.5, Z 41.000, N 1
2021-07-10 21:08:39 [warn] Temp1 226.0, Z 40.500, N 1
2021-07-10 21:08:51 [warn] Temp1 226.0, Z 40.000, N 1
2021-07-10 21:09:03 [warn] Temp1 225.5, Z 39.500, N 1
2021-07-10 21:09:16 [warn] Temp1 225.0, Z 39.000, N 1
2021-07-10 21:09:28 [warn] Temp1 223.8, Z 38.500, N 1
2021-07-10 21:09:40 [warn] Temp1 222.8, Z 38.000, N 1
2021-07-10 21:09:53 [warn] Temp1 220.8, Z 37.500, N 1
2021-07-10 21:10:05 [warn] Temp1 217.0, Z 37.000, N 1
2021-07-10 21:10:17 [warn] Temp1 212.8, Z 36.500, N 1
2021-07-10 21:10:30 [warn] Temp1 208.2, Z 36.000, N 1
2021-07-10 21:10:42 [warn] Temp1 201.2, Z 35.500, N 1
2021-07-10 21:10:54 [warn] Temp1 192.2, Z 35.000, N 1
2021-07-10 21:11:07 [warn] Temp1 181.5, Z 34.500, N 1
2021-07-10 21:11:19 [warn] Temp1 169.8, Z 34.000, N 1
