
2021-07-10 19:06:06 [info] Event logging started at level warn
2021-07-10 19:06:06 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-10 19:07:19 [warn] Beginning heatbreak profile
2021-07-10 19:07:19 [warn] Temp0 219.1
2021-07-10 19:07:19 [warn] Temp1 26.7
2021-07-10 19:07:19 [warn] Temp2 25.5
2021-07-10 19:07:19 [warn] Profile replicate 1
2021-07-10 19:08:01 [warn] Temp1 26.8, Z 50.000, N 1
2021-07-10 19:08:13 [warn] Temp1 26.7, Z 49.500, N 1
2021-07-10 19:08:26 [warn] Temp1 26.7, Z 49.000, N 1
2021-07-10 19:08:38 [warn] Temp1 26.6, Z 48.500, N 1
2021-07-10 19:08:50 [warn] Temp1 26.6, Z 48.000, N 1
2021-07-10 19:09:03 [warn] Temp1 26.5, Z 47.500, N 1
2021-07-10 19:09:15 [warn] Temp1 26.6, Z 47.000, N 1
2021-07-10 19:09:27 [warn] Temp1 26.7, Z 46.500, N 1
2021-07-10 19:09:40 [warn] Temp1 26.5, Z 46.000, N 1
2021-07-10 19:09:52 [warn] Temp1 26.4, Z 45.500, N 1
2021-07-10 19:10:04 [warn] Temp1 26.5, Z 45.000, N 1
2021-07-10 19:10:17 [warn] Temp1 26.4, Z 44.500, N 1
2021-07-10 19:10:29 [warn] Temp1 26.5, Z 44.000, N 1
2021-07-10 19:10:41 [warn] Temp1 26.6, Z 43.500, N 1
2021-07-10 19:10:54 [warn] Temp1 26.4, Z 43.000, N 1
2021-07-10 19:11:06 [warn] Temp1 26.3, Z 42.500, N 1
2021-07-10 19:11:18 [warn] Temp1 26.4, Z 42.000, N 1
2021-07-10 19:11:31 [warn] Temp1 26.4, Z 41.500, N 1
2021-07-10 19:11:43 [warn] Temp1 26.4, Z 41.000, N 1
2021-07-10 19:11:55 [warn] Temp1 26.5, Z 40.500, N 1
2021-07-10 19:12:08 [warn] Temp1 26.5, Z 40.000, N 1
2021-07-10 19:12:20 [warn] Temp1 26.5, Z 39.500, N 1
2021-07-10 19:12:32 [warn] Temp1 26.6, Z 39.000, N 1
2021-07-10 19:12:45 [warn] Temp1 26.6, Z 38.500, N 1
2021-07-10 19:12:57 [warn] Temp1 26.6, Z 38.000, N 1
2021-07-10 19:13:09 [warn] Temp1 26.5, Z 37.500, N 1
2021-07-10 19:13:22 [warn] Temp1 26.5, Z 37.000, N 1
2021-07-10 19:13:34 [warn] Temp1 26.5, Z 36.500, N 1
