2021-07-09 23:30:45 [info] Event logging started at level warn
2021-07-09 23:30:45 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-07-09 23:39:21 [warn] Beginning heatbreak profile
2021-07-09 23:39:21 [warn] Temp0 219.1
2021-07-09 23:39:21 [warn] Temp1 26.3
2021-07-09 23:39:21 [warn] Temp2 212.5
2021-07-09 23:39:21 [warn] Profile replicate 1
2021-07-09 23:40:03 [warn] Temp1 216.6, Z 50.000, N 1
2021-07-09 23:40:15 [warn] Temp1 214.0, Z 49.500, N 1
2021-07-09 23:40:27 [warn] Temp1 212.1, Z 49.000, N 1
2021-07-09 23:40:40 [warn] Temp1 211.5, Z 48.500, N 1
2021-07-09 23:40:52 [warn] Temp1 211.2, Z 48.000, N 1
2021-07-09 23:41:04 [warn] Temp1 210.8, Z 47.500, N 1
2021-07-09 23:41:17 [warn] Temp1 210.3, Z 47.000, N 1
2021-07-09 23:41:29 [warn] Temp1 209.5, Z 46.500, N 1
2021-07-09 23:41:41 [warn] Temp1 208.5, Z 46.000, N 1
2021-07-09 23:41:54 [warn] Temp1 207.5, Z 45.500, N 1
2021-07-09 23:42:06 [warn] Temp1 206.1, Z 45.000, N 1
2021-07-09 23:42:18 [warn] Temp1 204.9, Z 44.500, N 1
2021-07-09 23:42:31 [warn] Temp1 203.4, Z 44.000, N 1
2021-07-09 23:42:43 [warn] Temp1 201.9, Z 43.500, N 1
2021-07-09 23:42:55 [warn] Temp1 200.2, Z 43.000, N 1
2021-07-09 23:43:08 [warn] Temp1 198.2, Z 42.500, N 1
2021-07-09 23:43:20 [warn] Temp1 196.5, Z 42.000, N 1
2021-07-09 23:43:32 [warn] Temp1 194.4, Z 41.500, N 1
2021-07-09 23:43:45 [warn] Temp1 192.0, Z 41.000, N 1
2021-07-09 23:43:57 [warn] Temp1 188.0, Z 40.500, N 1
2021-07-09 23:44:09 [warn] Temp1 185.8, Z 40.000, N 1
2021-07-09 23:44:22 [warn] Temp1 182.7, Z 39.500, N 1
2021-07-09 23:44:34 [warn] Temp1 178.9, Z 39.000, N 1
2021-07-09 23:44:46 [warn] Temp1 174.4, Z 38.500, N 1
2021-07-09 23:44:59 [warn] Temp1 169.5, Z 38.000, N 1
2021-07-09 23:45:11 [warn] Temp1 164.2, Z 37.500, N 1
2021-07-09 23:45:23 [warn] Temp1 158.5, Z 37.000, N 1
2021-07-09 23:45:36 [warn] Temp1 151.3, Z 36.500, N 1
2021-07-09 23:45:48 [warn] Temp1 142.4, Z 36.000, N 1
2021-07-09 23:46:00 [warn] Temp1 130.5, Z 35.500, N 1
2021-07-09 23:46:13 [warn] Temp1 114.3, Z 35.000, N 1
2021-07-09 23:46:25 [warn] Temp1 95.9, Z 34.500, N 1
2021-07-09 23:46:37 [warn] Temp1 77.8, Z 34.000, N 1
2021-07-09 23:46:50 [warn] Temp1 62.0, Z 33.500, N 1
2021-07-09 23:47:02 [warn] Temp1 50.3, Z 33.000, N 1
2021-07-09 23:47:14 [warn] Temp1 43.3, Z 32.500, N 1
2021-07-09 23:47:27 [warn] Temp1 39.6, Z 32.000, N 1
2021-07-09 23:47:39 [warn] Temp1 38.2, Z 31.500, N 1
2021-07-09 23:47:51 [warn] Temp1 37.4, Z 31.000, N 1
2021-07-09 23:48:04 [warn] Temp1 37.0, Z 30.500, N 1
2021-07-09 23:48:16 [warn] Temp1 36.8, Z 30.000, N 1
2021-07-09 23:48:28 [warn] Temp1 36.6, Z 29.500, N 1
2021-07-09 23:48:41 [warn] Temp1 36.6, Z 29.000, N 1
2021-07-09 23:48:53 [warn] Temp1 36.5, Z 28.500, N 1
2021-07-09 23:49:05 [warn] Temp1 36.4, Z 28.000, N 1
2021-07-09 23:49:05 [warn] Profile replicate 2
2021-07-09 23:49:55 [warn] Temp1 214.0, Z 50.000, N 2
2021-07-09 23:50:08 [warn] Temp1 213.8, Z 49.500, N 2
2021-07-09 23:50:20 [warn] Temp1 213.3, Z 49.000, N 2
2021-07-09 23:50:32 [warn] Temp1 212.6, Z 48.500, N 2
2021-07-09 23:50:45 [warn] Temp1 212.0, Z 48.000, N 2
2021-07-09 23:50:57 [warn] Temp1 211.2, Z 47.500, N 2
2021-07-09 23:51:09 [warn] Temp1 210.3, Z 47.000, N 2
2021-07-09 23:51:22 [warn] Temp1 209.4, Z 46.500, N 2
2021-07-09 23:51:34 [warn] Temp1 208.2, Z 46.000, N 2
2021-07-09 23:51:46 [warn] Temp1 207.3, Z 45.500, N 2
2021-07-09 23:51:59 [warn] Temp1 206.1, Z 45.000, N 2
2021-07-09 23:52:11 [warn] Temp1 204.8, Z 44.500, N 2
2021-07-09 23:52:23 [warn] Temp1 203.4, Z 44.000, N 2
2021-07-09 23:52:36 [warn] Temp1 201.7, Z 43.500, N 2
2021-07-09 23:52:48 [warn] Temp1 200.0, Z 43.000, N 2
2021-07-09 23:53:00 [warn] Temp1 198.2, Z 42.500, N 2
2021-07-09 23:53:13 [warn] Temp1 196.6, Z 42.000, N 2
2021-07-09 23:53:25 [warn] Temp1 194.5, Z 41.500, N 2
2021-07-09 23:53:37 [warn] Temp1 192.1, Z 41.000, N 2
2021-07-09 23:53:50 [warn] Temp1 188.2, Z 40.500, N 2
2021-07-09 23:54:02 [warn] Temp1 186.2, Z 40.000, N 2
2021-07-09 23:54:14 [warn] Temp1 182.9, Z 39.500, N 2
2021-07-09 23:54:27 [warn] Temp1 179.0, Z 39.000, N 2
2021-07-09 23:54:39 [warn] Temp1 174.7, Z 38.500, N 2
2021-07-09 23:54:51 [warn] Temp1 169.9, Z 38.000, N 2
2021-07-09 23:55:04 [warn] Temp1 164.7, Z 37.500, N 2
2021-07-09 23:55:16 [warn] Temp1 158.9, Z 37.000, N 2
2021-07-09 23:55:28 [warn] Temp1 151.9, Z 36.500, N 2
2021-07-09 23:55:41 [warn] Temp1 143.0, Z 36.000, N 2
2021-07-09 23:55:53 [warn] Temp1 130.9, Z 35.500, N 2
2021-07-09 23:56:05 [warn] Temp1 114.9, Z 35.000, N 2
2021-07-09 23:56:18 [warn] Temp1 96.4, Z 34.500, N 2
2021-07-09 23:56:30 [warn] Temp1 78.2, Z 34.000, N 2
2021-07-09 23:56:42 [warn] Temp1 61.9, Z 33.500, N 2
2021-07-09 23:56:55 [warn] Temp1 50.5, Z 33.000, N 2
2021-07-09 23:57:07 [warn] Temp1 43.2, Z 32.500, N 2
2021-07-09 23:57:19 [warn] Temp1 39.6, Z 32.000, N 2
2021-07-09 23:57:32 [warn] Temp1 38.0, Z 31.500, N 2
2021-07-09 23:57:44 [warn] Temp1 37.3, Z 31.000, N 2
2021-07-09 23:57:56 [warn] Temp1 37.0, Z 30.500, N 2
2021-07-09 23:58:09 [warn] Temp1 36.8, Z 30.000, N 2
2021-07-09 23:58:21 [warn] Temp1 36.5, Z 29.500, N 2
2021-07-09 23:58:33 [warn] Temp1 36.5, Z 29.000, N 2
2021-07-09 23:58:46 [warn] Temp1 36.4, Z 28.500, N 2
2021-07-09 23:58:58 [warn] Temp1 36.2, Z 28.000, N 2
2021-07-09 23:58:58 [warn] Profile replicate 3
2021-07-09 23:59:48 [warn] Temp1 214.1, Z 50.000, N 3
2021-07-10 00:00:00 [warn] Temp1 213.7, Z 49.500, N 3
2021-07-10 00:00:13 [warn] Temp1 213.2, Z 49.000, N 3
2021-07-10 00:00:25 [warn] Temp1 212.6, Z 48.500, N 3
2021-07-10 00:00:37 [warn] Temp1 211.8, Z 48.000, N 3
