2021-07-10 22:05:09 [info] Event logging started at level warn
2021-07-10 22:05:09 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-10 22:08:24 [warn] Beginning heatbreak profile
2021-07-10 22:08:24 [warn] Temp0 219.1
2021-07-10 22:08:24 [warn] Temp1 26.2
2021-07-10 22:08:24 [warn] Temp2 24.4
2021-07-10 22:08:24 [warn] Temp3 218.8
2021-07-10 22:08:24 [warn] Profile replicate 1
2021-07-10 22:09:06 [warn] Temp1 230.2, Z 50.000, N 1
2021-07-10 22:09:18 [warn] Temp1 228.2, Z 49.500, N 1
2021-07-10 22:09:30 [warn] Temp1 225.8, Z 49.000, N 1
2021-07-10 22:09:43 [warn] Temp1 224.8, Z 48.500, N 1
2021-07-10 22:09:55 [warn] Temp1 224.5, Z 48.000, N 1
2021-07-10 22:10:07 [warn] Temp1 224.5, Z 47.500, N 1
2021-07-10 22:10:20 [warn] Temp1 225.0, Z 47.000, N 1
2021-07-10 22:10:32 [warn] Temp1 225.8, Z 46.500, N 1
2021-07-10 22:10:44 [warn] Temp1 225.5, Z 46.000, N 1
2021-07-10 22:10:57 [warn] Temp1 225.5, Z 45.500, N 1
2021-07-10 22:11:09 [warn] Temp1 225.5, Z 45.000, N 1
2021-07-10 22:11:21 [warn] Temp1 225.5, Z 44.500, N 1
2021-07-10 22:11:34 [warn] Temp1 224.8, Z 44.000, N 1
2021-07-10 22:11:46 [warn] Temp1 225.2, Z 43.500, N 1
2021-07-10 22:11:58 [warn] Temp1 225.0, Z 43.000, N 1
2021-07-10 22:12:11 [warn] Temp1 224.8, Z 42.500, N 1
2021-07-10 22:12:23 [warn] Temp1 224.0, Z 42.000, N 1
2021-07-10 22:12:35 [warn] Temp1 223.5, Z 41.500, N 1
2021-07-10 22:12:48 [warn] Temp1 222.5, Z 41.000, N 1
2021-07-10 22:13:00 [warn] Temp1 220.5, Z 40.500, N 1
2021-07-10 22:13:12 [warn] Temp1 219.2, Z 40.000, N 1
2021-07-10 22:13:25 [warn] Temp1 216.5, Z 39.500, N 1
2021-07-10 22:13:37 [warn] Temp1 213.0, Z 39.000, N 1
2021-07-10 22:13:49 [warn] Temp1 209.0, Z 38.500, N 1
2021-07-10 22:14:02 [warn] Temp1 202.5, Z 38.000, N 1
2021-07-10 22:14:14 [warn] Temp1 193.8, Z 37.500, N 1
2021-07-10 22:14:26 [warn] Temp1 183.0, Z 37.000, N 1
2021-07-10 22:14:39 [warn] Temp1 170.0, Z 36.500, N 1
2021-07-10 22:14:51 [warn] Temp1 155.5, Z 36.000, N 1
2021-07-10 22:15:03 [warn] Temp1 138.8, Z 35.500, N 1
2021-07-10 22:15:16 [warn] Temp1 121.0, Z 35.000, N 1
2021-07-10 22:15:28 [warn] Temp1 103.2, Z 34.500, N 1
2021-07-10 22:15:40 [warn] Temp1 87.2, Z 34.000, N 1
2021-07-10 22:15:53 [warn] Temp1 73.8, Z 33.500, N 1
2021-07-10 22:16:05 [warn] Temp1 63.0, Z 33.000, N 1
2021-07-10 22:16:17 [warn] Temp1 55.0, Z 32.500, N 1
2021-07-10 22:16:30 [warn] Temp1 50.8, Z 32.000, N 1
2021-07-10 22:16:42 [warn] Temp1 47.8, Z 31.500, N 1
