2021-07-10 01:00:08 [info] Event logging started at level warn
2021-07-10 01:00:08 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-07-10 01:01:18 [warn] Beginning heatbreak profile
2021-07-10 01:01:18 [warn] Temp0 219.2
2021-07-10 01:01:18 [warn] Temp1 27.0
2021-07-10 01:01:18 [warn] Temp2 213.6
2021-07-10 01:01:18 [warn] Profile replicate 1
2021-07-10 01:02:00 [warn] Temp1 217.1, Z 50.000, N 1
2021-07-10 01:02:13 [warn] Temp1 214.5, Z 49.500, N 1
2021-07-10 01:02:25 [warn] Temp1 212.9, Z 49.000, N 1
2021-07-10 01:02:37 [warn] Temp1 212.0, Z 48.500, N 1
2021-07-10 01:02:50 [warn] Temp1 211.7, Z 48.000, N 1
2021-07-10 01:03:02 [warn] Temp1 211.4, Z 47.500, N 1
2021-07-10 01:03:14 [warn] Temp1 210.9, Z 47.000, N 1
2021-07-10 01:03:27 [warn] Temp1 209.9, Z 46.500, N 1
2021-07-10 01:03:39 [warn] Temp1 209.0, Z 46.000, N 1
2021-07-10 01:03:51 [warn] Temp1 207.9, Z 45.500, N 1
2021-07-10 01:04:04 [warn] Temp1 206.7, Z 45.000, N 1
2021-07-10 01:04:16 [warn] Temp1 205.3, Z 44.500, N 1
2021-07-10 01:04:28 [warn] Temp1 203.9, Z 44.000, N 1
2021-07-10 01:04:41 [warn] Temp1 202.5, Z 43.500, N 1
2021-07-10 01:04:53 [warn] Temp1 201.0, Z 43.000, N 1
2021-07-10 01:05:05 [warn] Temp1 199.3, Z 42.500, N 1
2021-07-10 01:05:18 [warn] Temp1 197.7, Z 42.000, N 1
2021-07-10 01:05:30 [warn] Temp1 196.3, Z 41.500, N 1
2021-07-10 01:05:42 [warn] Temp1 194.9, Z 41.000, N 1
2021-07-10 01:05:55 [warn] Temp1 191.3, Z 40.500, N 1
2021-07-10 01:06:07 [warn] Temp1 190.9, Z 40.000, N 1
2021-07-10 01:06:19 [warn] Temp1 188.4, Z 39.500, N 1
2021-07-10 01:06:32 [warn] Temp1 185.9, Z 39.000, N 1
2021-07-10 01:06:44 [warn] Temp1 182.3, Z 38.500, N 1
2021-07-10 01:06:56 [warn] Temp1 178.0, Z 38.000, N 1
2021-07-10 01:07:09 [warn] Temp1 170.8, Z 37.500, N 1
2021-07-10 01:07:21 [warn] Temp1 162.4, Z 37.000, N 1
2021-07-10 01:07:33 [warn] Temp1 153.3, Z 36.500, N 1
2021-07-10 01:07:46 [warn] Temp1 140.9, Z 36.000, N 1
2021-07-10 01:07:58 [warn] Temp1 125.9, Z 35.500, N 1
2021-07-10 01:08:10 [warn] Temp1 108.7, Z 35.000, N 1
2021-07-10 01:08:23 [warn] Temp1 91.3, Z 34.500, N 1
2021-07-10 01:08:35 [warn] Temp1 75.5, Z 34.000, N 1
2021-07-10 01:08:47 [warn] Temp1 61.5, Z 33.500, N 1
2021-07-10 01:09:00 [warn] Temp1 50.0, Z 33.000, N 1
2021-07-10 01:09:12 [warn] Temp1 41.9, Z 32.500, N 1
2021-07-10 01:09:24 [warn] Temp1 37.9, Z 32.000, N 1
2021-07-10 01:09:37 [warn] Temp1 35.9, Z 31.500, N 1
2021-07-10 01:09:49 [warn] Temp1 35.1, Z 31.000, N 1
2021-07-10 01:10:01 [warn] Temp1 34.8, Z 30.500, N 1
2021-07-10 01:10:14 [warn] Temp1 34.6, Z 30.000, N 1
2021-07-10 01:10:26 [warn] Temp1 34.5, Z 29.500, N 1
2021-07-10 01:10:38 [warn] Temp1 34.3, Z 29.000, N 1
2021-07-10 01:10:51 [warn] Temp1 34.2, Z 28.500, N 1
2021-07-10 01:11:03 [warn] Temp1 34.1, Z 28.000, N 1
2021-07-10 01:11:03 [warn] Profile replicate 2
2021-07-10 01:11:53 [warn] Temp1 214.7, Z 50.000, N 2
2021-07-10 01:12:05 [warn] Temp1 214.3, Z 49.500, N 2
2021-07-10 01:12:18 [warn] Temp1 213.8, Z 49.000, N 2
2021-07-10 01:12:30 [warn] Temp1 213.0, Z 48.500, N 2
2021-07-10 01:12:42 [warn] Temp1 212.3, Z 48.000, N 2
2021-07-10 01:12:55 [warn] Temp1 211.5, Z 47.500, N 2
2021-07-10 01:13:07 [warn] Temp1 210.7, Z 47.000, N 2
2021-07-10 01:13:19 [warn] Temp1 209.9, Z 46.500, N 2
2021-07-10 01:13:32 [warn] Temp1 209.0, Z 46.000, N 2
2021-07-10 01:13:44 [warn] Temp1 207.9, Z 45.500, N 2
2021-07-10 01:13:56 [warn] Temp1 206.6, Z 45.000, N 2
2021-07-10 01:14:09 [warn] Temp1 205.3, Z 44.500, N 2
2021-07-10 01:14:21 [warn] Temp1 204.0, Z 44.000, N 2
2021-07-10 01:14:33 [warn] Temp1 202.5, Z 43.500, N 2
2021-07-10 01:14:46 [warn] Temp1 201.0, Z 43.000, N 2
2021-07-10 01:14:58 [warn] Temp1 199.2, Z 42.500, N 2
2021-07-10 01:15:10 [warn] Temp1 197.6, Z 42.000, N 2
2021-07-10 01:15:23 [warn] Temp1 196.2, Z 41.500, N 2
2021-07-10 01:15:35 [warn] Temp1 194.9, Z 41.000, N 2
2021-07-10 01:15:47 [warn] Temp1 191.5, Z 40.500, N 2
2021-07-10 01:16:00 [warn] Temp1 191.0, Z 40.000, N 2
2021-07-10 01:16:12 [warn] Temp1 188.3, Z 39.500, N 2
2021-07-10 01:16:24 [warn] Temp1 185.8, Z 39.000, N 2
