2021-07-10 22:49:13 [info] Event logging started at level warn
2021-07-10 22:49:13 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-10 22:51:25 [warn] Beginning heatbreak profile
2021-07-10 22:51:25 [warn] Temp0 219.1
2021-07-10 22:51:25 [warn] Temp1 26.2
2021-07-10 22:51:25 [warn] Temp2 24.2
2021-07-10 22:51:25 [warn] Temp2 219.0
2021-07-10 22:51:25 [warn] Profile replicate 1
2021-07-10 22:52:07 [warn] Temp1 230.0, Z 50.000, N 1
2021-07-10 22:52:19 [warn] Temp1 228.0, Z 49.500, N 1
2021-07-10 22:52:32 [warn] Temp1 225.5, Z 49.000, N 1
2021-07-10 22:52:44 [warn] Temp1 224.5, Z 48.500, N 1
2021-07-10 22:52:56 [warn] Temp1 224.5, Z 48.000, N 1
2021-07-10 22:53:09 [warn] Temp1 225.2, Z 47.500, N 1
2021-07-10 22:53:21 [warn] Temp1 225.5, Z 47.000, N 1
2021-07-10 22:53:33 [warn] Temp1 225.8, Z 46.500, N 1
2021-07-10 22:53:46 [warn] Temp1 225.8, Z 46.000, N 1
2021-07-10 22:53:58 [warn] Temp1 226.0, Z 45.500, N 1
2021-07-10 22:54:10 [warn] Temp1 225.2, Z 45.000, N 1
2021-07-10 22:54:23 [warn] Temp1 225.8, Z 44.500, N 1
2021-07-10 22:54:35 [warn] Temp1 225.5, Z 44.000, N 1
2021-07-10 22:54:47 [warn] Temp1 225.0, Z 43.500, N 1
2021-07-10 22:55:00 [warn] Temp1 225.2, Z 43.000, N 1
2021-07-10 22:55:12 [warn] Temp1 225.0, Z 42.500, N 1
2021-07-10 22:55:24 [warn] Temp1 224.8, Z 42.000, N 1
2021-07-10 22:55:37 [warn] Temp1 224.0, Z 41.500, N 1
2021-07-10 22:55:49 [warn] Temp1 223.2, Z 41.000, N 1
2021-07-10 22:56:01 [warn] Temp1 222.5, Z 40.500, N 1
2021-07-10 22:56:14 [warn] Temp1 221.0, Z 40.000, N 1
2021-07-10 22:56:26 [warn] Temp1 218.5, Z 39.500, N 1
2021-07-10 22:56:38 [warn] Temp1 215.8, Z 39.000, N 1
2021-07-10 22:56:51 [warn] Temp1 211.5, Z 38.500, N 1
2021-07-10 22:57:03 [warn] Temp1 206.5, Z 38.000, N 1
2021-07-10 22:57:15 [warn] Temp1 199.0, Z 37.500, N 1
2021-07-10 22:57:28 [warn] Temp1 189.5, Z 37.000, N 1
2021-07-10 22:57:40 [warn] Temp1 179.0, Z 36.500, N 1
2021-07-10 22:57:52 [warn] Temp1 167.0, Z 36.000, N 1
2021-07-10 22:58:04 [warn] Temp1 152.5, Z 35.500, N 1
2021-07-10 22:58:17 [warn] Temp1 137.8, Z 35.000, N 1
2021-07-10 22:58:29 [warn] Temp1 123.0, Z 34.500, N 1
2021-07-10 22:58:41 [warn] Temp1 109.5, Z 34.000, N 1
2021-07-10 22:58:54 [warn] Temp1 97.0, Z 33.500, N 1
2021-07-10 22:59:06 [warn] Temp1 88.0, Z 33.000, N 1
2021-07-10 22:59:18 [warn] Temp1 81.5, Z 32.500, N 1
2021-07-10 22:59:31 [warn] Temp1 77.2, Z 32.000, N 1
2021-07-10 22:59:43 [warn] Temp1 75.0, Z 31.500, N 1
2021-07-10 22:59:55 [warn] Temp1 73.8, Z 31.000, N 1
2021-07-10 23:00:08 [warn] Temp1 73.5, Z 30.500, N 1
2021-07-10 23:00:20 [warn] Temp1 74.2, Z 30.000, N 1
2021-07-10 23:00:32 [warn] Temp1 74.2, Z 29.500, N 1
2021-07-10 23:00:45 [warn] Temp1 74.8, Z 29.000, N 1
2021-07-10 23:00:57 [warn] Temp1 75.0, Z 28.500, N 1
