2021-07-10 00:23:59 [info] Event logging started at level warn
2021-07-10 00:23:59 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-07-10 00:28:07 [warn] Beginning heatbreak profile
2021-07-10 00:28:07 [warn] Temp0 219.1
2021-07-10 00:28:07 [warn] Temp1 26.1
2021-07-10 00:28:07 [warn] Temp2 214.2
2021-07-10 00:28:07 [warn] Profile replicate 1
2021-07-10 00:28:49 [warn] Temp1 217.8, Z 50.000, N 1
2021-07-10 00:29:01 [warn] Temp1 214.9, Z 49.500, N 1
2021-07-10 00:29:13 [warn] Temp1 213.2, Z 49.000, N 1
2021-07-10 00:29:26 [warn] Temp1 212.6, Z 48.500, N 1
2021-07-10 00:29:38 [warn] Temp1 212.4, Z 48.000, N 1
2021-07-10 00:29:50 [warn] Temp1 212.1, Z 47.500, N 1
2021-07-10 00:30:03 [warn] Temp1 211.4, Z 47.000, N 1
2021-07-10 00:30:15 [warn] Temp1 210.7, Z 46.500, N 1
2021-07-10 00:30:27 [warn] Temp1 209.9, Z 46.000, N 1
2021-07-10 00:30:40 [warn] Temp1 208.7, Z 45.500, N 1
2021-07-10 00:30:52 [warn] Temp1 207.6, Z 45.000, N 1
2021-07-10 00:31:04 [warn] Temp1 206.4, Z 44.500, N 1
2021-07-10 00:31:17 [warn] Temp1 204.9, Z 44.000, N 1
2021-07-10 00:31:29 [warn] Temp1 203.5, Z 43.500, N 1
2021-07-10 00:31:41 [warn] Temp1 202.1, Z 43.000, N 1
2021-07-10 00:31:54 [warn] Temp1 200.6, Z 42.500, N 1
2021-07-10 00:32:06 [warn] Temp1 199.0, Z 42.000, N 1
2021-07-10 00:32:18 [warn] Temp1 197.8, Z 41.500, N 1
2021-07-10 00:32:31 [warn] Temp1 196.5, Z 41.000, N 1
2021-07-10 00:32:43 [warn] Temp1 193.2, Z 40.500, N 1
2021-07-10 00:32:55 [warn] Temp1 192.8, Z 40.000, N 1
2021-07-10 00:33:08 [warn] Temp1 190.4, Z 39.500, N 1
2021-07-10 00:33:20 [warn] Temp1 188.0, Z 39.000, N 1
2021-07-10 00:33:32 [warn] Temp1 184.6, Z 38.500, N 1
2021-07-10 00:33:45 [warn] Temp1 180.5, Z 38.000, N 1
