2021-07-11 19:04:34 [info] Event logging started at level warn
2021-07-11 19:04:34 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-11 19:07:03 [warn] Beginning HF heatbreak profile
2021-07-11 19:07:03 [warn] Temp0 219.0
2021-07-11 19:07:03 [warn] Temp1 24.3
2021-07-11 19:07:03 [warn] Temp2 23.0
2021-07-11 19:07:03 [warn] Temp3 222.2
2021-07-11 19:07:03 [warn] Profile replicate 1
2021-07-11 19:07:45 [warn] Temp1 229.2, Z 50.000, N 1
2021-07-11 19:07:57 [warn] Temp1 227.2, Z 49.500, N 1
2021-07-11 19:08:10 [warn] Temp1 226.0, Z 49.000, N 1
2021-07-11 19:08:22 [warn] Temp1 225.0, Z 48.500, N 1
2021-07-11 19:08:34 [warn] Temp1 225.2, Z 48.000, N 1
2021-07-11 19:08:47 [warn] Temp1 225.5, Z 47.500, N 1
2021-07-11 19:08:59 [warn] Temp1 226.5, Z 47.000, N 1
2021-07-11 19:09:11 [warn] Temp1 226.8, Z 46.500, N 1
2021-07-11 19:09:24 [warn] Temp1 226.5, Z 46.000, N 1
2021-07-11 19:09:36 [warn] Temp1 226.2, Z 45.500, N 1
2021-07-11 19:09:48 [warn] Temp1 226.8, Z 45.000, N 1
2021-07-11 19:10:01 [warn] Temp1 226.5, Z 44.500, N 1
2021-07-11 19:10:13 [warn] Temp1 226.8, Z 44.000, N 1
2021-07-11 19:10:25 [warn] Temp1 226.2, Z 43.500, N 1
2021-07-11 19:10:38 [warn] Temp1 227.0, Z 43.000, N 1
2021-07-11 19:10:50 [warn] Temp1 227.0, Z 42.500, N 1
2021-07-11 19:11:02 [warn] Temp1 226.5, Z 42.000, N 1
2021-07-11 19:11:15 [warn] Temp1 226.2, Z 41.500, N 1
2021-07-11 19:11:27 [warn] Temp1 227.0, Z 41.000, N 1
2021-07-11 19:11:39 [warn] Temp1 227.0, Z 40.500, N 1
2021-07-11 19:11:51 [warn] Temp1 227.0, Z 40.000, N 1
2021-07-11 19:12:04 [warn] Temp1 227.0, Z 39.500, N 1
2021-07-11 19:12:16 [warn] Temp1 226.8, Z 39.000, N 1
2021-07-11 19:12:28 [warn] Temp1 226.5, Z 38.500, N 1
2021-07-11 19:12:41 [warn] Temp1 226.8, Z 38.000, N 1
2021-07-11 19:12:53 [warn] Temp1 226.2, Z 37.500, N 1
2021-07-11 19:13:05 [warn] Temp1 226.2, Z 37.000, N 1
2021-07-11 19:13:18 [warn] Temp1 226.0, Z 36.500, N 1
2021-07-11 19:13:30 [warn] Temp1 226.2, Z 36.000, N 1
2021-07-11 19:13:42 [warn] Temp1 226.0, Z 35.500, N 1
2021-07-11 19:13:55 [warn] Temp1 225.5, Z 35.000, N 1
2021-07-11 19:14:07 [warn] Temp1 225.5, Z 34.500, N 1
2021-07-11 19:14:19 [warn] Temp1 224.8, Z 34.000, N 1
2021-07-11 19:14:32 [warn] Temp1 224.8, Z 33.500, N 1
2021-07-11 19:14:44 [warn] Temp1 223.5, Z 33.000, N 1
2021-07-11 19:14:56 [warn] Temp1 222.8, Z 32.500, N 1
