2021-07-11 10:52:03 [info] Event logging started at level warn
2021-07-11 10:52:03 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-11 11:20:29 [warn] Beginning heatbreak profile
2021-07-11 11:20:29 [warn] Temp0 219.1
2021-07-11 11:20:29 [warn] Temp1 23.7
2021-07-11 11:20:29 [warn] Temp2 22.8
2021-07-11 11:20:29 [warn] Temp3 219.0
2021-07-11 11:20:29 [warn] Profile replicate 1
2021-07-11 11:21:11 [warn] Temp1 229.8, Z 50.000, N 1
2021-07-11 11:21:23 [warn] Temp1 227.5, Z 49.500, N 1
2021-07-11 11:21:35 [warn] Temp1 225.5, Z 49.000, N 1
2021-07-11 11:21:48 [warn] Temp1 224.5, Z 48.500, N 1
2021-07-11 11:22:00 [warn] Temp1 224.0, Z 48.000, N 1
2021-07-11 11:22:12 [warn] Temp1 224.0, Z 47.500, N 1
2021-07-11 11:22:25 [warn] Temp1 224.5, Z 47.000, N 1
2021-07-11 11:22:37 [warn] Temp1 225.5, Z 46.500, N 1
2021-07-11 11:22:49 [warn] Temp1 225.2, Z 46.000, N 1
2021-07-11 11:23:02 [warn] Temp1 224.8, Z 45.500, N 1
2021-07-11 11:23:14 [warn] Temp1 225.2, Z 45.000, N 1
2021-07-11 11:23:26 [warn] Temp1 225.0, Z 44.500, N 1
2021-07-11 11:23:39 [warn] Temp1 225.2, Z 44.000, N 1
2021-07-11 11:23:51 [warn] Temp1 224.5, Z 43.500, N 1
2021-07-11 11:24:03 [warn] Temp1 225.0, Z 43.000, N 1
2021-07-11 11:24:16 [warn] Temp1 224.5, Z 42.500, N 1
2021-07-11 11:24:28 [warn] Temp1 224.5, Z 42.000, N 1
2021-07-11 11:24:40 [warn] Temp1 224.0, Z 41.500, N 1
2021-07-11 11:24:53 [warn] Temp1 223.5, Z 41.000, N 1
2021-07-11 11:25:05 [warn] Temp1 222.5, Z 40.500, N 1
2021-07-11 11:25:17 [warn] Temp1 221.5, Z 40.000, N 1
2021-07-11 11:25:30 [warn] Temp1 220.2, Z 39.500, N 1
2021-07-11 11:25:42 [warn] Temp1 218.0, Z 39.000, N 1
2021-07-11 11:25:54 [warn] Temp1 215.8, Z 38.500, N 1
2021-07-11 11:26:07 [warn] Temp1 212.0, Z 38.000, N 1
2021-07-11 11:26:19 [warn] Temp1 206.5, Z 37.500, N 1
