2021-07-10 23:44:14 [info] Event logging started at level warn
2021-07-10 23:44:14 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-10 23:47:03 [warn] Beginning heatbreak profile
2021-07-10 23:47:03 [warn] Temp0 219.3
2021-07-10 23:47:03 [warn] Temp1 26.0
2021-07-10 23:47:03 [warn] Temp2 24.5
2021-07-10 23:47:03 [warn] Temp3 219.2
2021-07-10 23:47:03 [warn] Profile replicate 1
2021-07-10 23:47:45 [warn] Temp1 229.8, Z 50.000, N 1
2021-07-10 23:47:57 [warn] Temp1 227.5, Z 49.500, N 1
2021-07-10 23:48:10 [warn] Temp1 225.2, Z 49.000, N 1
2021-07-10 23:48:22 [warn] Temp1 224.2, Z 48.500, N 1
2021-07-10 23:48:34 [warn] Temp1 223.8, Z 48.000, N 1
2021-07-10 23:48:47 [warn] Temp1 224.5, Z 47.500, N 1
2021-07-10 23:48:59 [warn] Temp1 224.5, Z 47.000, N 1
2021-07-10 23:49:11 [warn] Temp1 225.0, Z 46.500, N 1
2021-07-10 23:49:24 [warn] Temp1 225.0, Z 46.000, N 1
2021-07-10 23:49:36 [warn] Temp1 225.2, Z 45.500, N 1
2021-07-10 23:49:48 [warn] Temp1 225.0, Z 45.000, N 1
2021-07-10 23:50:01 [warn] Temp1 225.5, Z 44.500, N 1
2021-07-10 23:50:13 [warn] Temp1 224.5, Z 44.000, N 1
2021-07-10 23:50:25 [warn] Temp1 224.5, Z 43.500, N 1
2021-07-10 23:50:38 [warn] Temp1 223.8, Z 43.000, N 1
2021-07-10 23:50:50 [warn] Temp1 223.2, Z 42.500, N 1
2021-07-10 23:51:02 [warn] Temp1 222.8, Z 42.000, N 1
2021-07-10 23:51:15 [warn] Temp1 221.8, Z 41.500, N 1
2021-07-10 23:51:27 [warn] Temp1 220.2, Z 41.000, N 1
2021-07-10 23:51:39 [warn] Temp1 218.8, Z 40.500, N 1
2021-07-10 23:51:52 [warn] Temp1 216.2, Z 40.000, N 1
2021-07-10 23:52:04 [warn] Temp1 213.0, Z 39.500, N 1
2021-07-10 23:52:16 [warn] Temp1 209.5, Z 39.000, N 1
2021-07-10 23:52:29 [warn] Temp1 205.5, Z 38.500, N 1
2021-07-10 23:52:41 [warn] Temp1 200.8, Z 38.000, N 1
2021-07-10 23:52:53 [warn] Temp1 194.2, Z 37.500, N 1
2021-07-10 23:53:06 [warn] Temp1 186.2, Z 37.000, N 1
2021-07-10 23:53:18 [warn] Temp1 176.8, Z 36.500, N 1
2021-07-10 23:53:30 [warn] Temp1 164.8, Z 36.000, N 1
2021-07-10 23:53:43 [warn] Temp1 151.0, Z 35.500, N 1
2021-07-10 23:53:55 [warn] Temp1 134.0, Z 35.000, N 1
2021-07-10 23:54:07 [warn] Temp1 116.8, Z 34.500, N 1
2021-07-10 23:54:20 [warn] Temp1 99.5, Z 34.000, N 1
2021-07-10 23:54:32 [warn] Temp1 83.2, Z 33.500, N 1
2021-07-10 23:54:44 [warn] Temp1 69.5, Z 33.000, N 1
2021-07-10 23:54:57 [warn] Temp1 61.0, Z 32.500, N 1
2021-07-10 23:55:09 [warn] Temp1 54.2, Z 32.000, N 1
2021-07-10 23:55:21 [warn] Temp1 51.0, Z 31.500, N 1
2021-07-10 23:55:34 [warn] Temp1 49.8, Z 31.000, N 1
2021-07-10 23:55:46 [warn] Temp1 49.0, Z 30.500, N 1
2021-07-10 23:55:58 [warn] Temp1 48.0, Z 30.000, N 1
2021-07-10 23:56:11 [warn] Temp1 48.5, Z 29.500, N 1
2021-07-10 23:56:23 [warn] Temp1 47.5, Z 29.000, N 1
2021-07-10 23:56:35 [warn] Temp1 48.0, Z 28.500, N 1
2021-07-10 23:56:48 [warn] Temp1 48.2, Z 28.000, N 1
2021-07-10 23:56:48 [warn] Profile replicate 2
2021-07-10 23:57:38 [warn] Temp1 224.8, Z 50.000, N 2
2021-07-10 23:57:50 [warn] Temp1 225.2, Z 49.500, N 2
2021-07-10 23:58:02 [warn] Temp1 225.0, Z 49.000, N 2
2021-07-10 23:58:15 [warn] Temp1 224.5, Z 48.500, N 2
2021-07-10 23:58:27 [warn] Temp1 225.0, Z 48.000, N 2
2021-07-10 23:58:39 [warn] Temp1 224.8, Z 47.500, N 2
2021-07-10 23:58:52 [warn] Temp1 224.8, Z 47.000, N 2
2021-07-10 23:59:04 [warn] Temp1 225.2, Z 46.500, N 2
2021-07-10 23:59:16 [warn] Temp1 225.0, Z 46.000, N 2
2021-07-10 23:59:29 [warn] Temp1 225.0, Z 45.500, N 2
2021-07-10 23:59:41 [warn] Temp1 225.2, Z 45.000, N 2
2021-07-10 23:59:53 [warn] Temp1 224.8, Z 44.500, N 2
2021-07-11 00:00:06 [warn] Temp1 224.5, Z 44.000, N 2
2021-07-11 00:00:18 [warn] Temp1 224.5, Z 43.500, N 2
2021-07-11 00:00:30 [warn] Temp1 223.5, Z 43.000, N 2
2021-07-11 00:00:43 [warn] Temp1 223.8, Z 42.500, N 2
2021-07-11 00:00:55 [warn] Temp1 222.8, Z 42.000, N 2
2021-07-11 00:01:07 [warn] Temp1 222.0, Z 41.500, N 2
2021-07-11 00:01:20 [warn] Temp1 220.5, Z 41.000, N 2
2021-07-11 00:01:32 [warn] Temp1 218.5, Z 40.500, N 2
2021-07-11 00:01:44 [warn] Temp1 216.5, Z 40.000, N 2
2021-07-11 00:01:57 [warn] Temp1 213.8, Z 39.500, N 2
2021-07-11 00:02:09 [warn] Temp1 210.5, Z 39.000, N 2
2021-07-11 00:02:21 [warn] Temp1 206.2, Z 38.500, N 2
2021-07-11 00:02:34 [warn] Temp1 200.8, Z 38.000, N 2
2021-07-11 00:02:46 [warn] Temp1 194.5, Z 37.500, N 2
2021-07-11 00:02:58 [warn] Temp1 186.2, Z 37.000, N 2
2021-07-11 00:03:11 [warn] Temp1 176.8, Z 36.500, N 2
2021-07-11 00:03:23 [warn] Temp1 165.0, Z 36.000, N 2
2021-07-11 00:03:35 [warn] Temp1 151.2, Z 35.500, N 2
2021-07-11 00:03:48 [warn] Temp1 134.5, Z 35.000, N 2
2021-07-11 00:04:00 [warn] Temp1 117.8, Z 34.500, N 2
2021-07-11 00:04:12 [warn] Temp1 100.2, Z 34.000, N 2
2021-07-11 00:04:25 [warn] Temp1 83.8, Z 33.500, N 2
2021-07-11 00:04:37 [warn] Temp1 70.8, Z 33.000, N 2
2021-07-11 00:04:49 [warn] Temp1 61.0, Z 32.500, N 2
2021-07-11 00:05:02 [warn] Temp1 54.8, Z 32.000, N 2
2021-07-11 00:05:14 [warn] Temp1 51.2, Z 31.500, N 2
2021-07-11 00:05:26 [warn] Temp1 50.0, Z 31.000, N 2
2021-07-11 00:05:39 [warn] Temp1 49.0, Z 30.500, N 2
2021-07-11 00:05:51 [warn] Temp1 48.2, Z 30.000, N 2
