2021-07-11 12:11:06 [info] Event logging started at level warn
2021-07-11 12:11:06 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-11 12:13:51 [warn] Beginning heatbreak profile
2021-07-11 12:13:51 [warn] Temp0 219.1
2021-07-11 12:13:51 [warn] Temp1 24.3
2021-07-11 12:13:51 [warn] Temp2 22.9
2021-07-11 12:13:51 [warn] Temp3 218.5
2021-07-11 12:13:51 [warn] Profile replicate 1
2021-07-11 12:14:33 [warn] Temp1 229.0, Z 50.000, N 1
2021-07-11 12:14:45 [warn] Temp1 226.8, Z 49.500, N 1
2021-07-11 12:14:58 [warn] Temp1 225.2, Z 49.000, N 1
2021-07-11 12:15:10 [warn] Temp1 223.8, Z 48.500, N 1
2021-07-11 12:15:22 [warn] Temp1 223.8, Z 48.000, N 1
2021-07-11 12:15:35 [warn] Temp1 224.0, Z 47.500, N 1
2021-07-11 12:15:47 [warn] Temp1 224.2, Z 47.000, N 1
2021-07-11 12:15:59 [warn] Temp1 224.2, Z 46.500, N 1
2021-07-11 12:16:12 [warn] Temp1 224.8, Z 46.000, N 1
2021-07-11 12:16:24 [warn] Temp1 224.8, Z 45.500, N 1
2021-07-11 12:16:36 [warn] Temp1 224.5, Z 45.000, N 1
2021-07-11 12:16:49 [warn] Temp1 224.5, Z 44.500, N 1
2021-07-11 12:17:01 [warn] Temp1 224.2, Z 44.000, N 1
2021-07-11 12:17:13 [warn] Temp1 223.8, Z 43.500, N 1
2021-07-11 12:17:26 [warn] Temp1 223.5, Z 43.000, N 1
2021-07-11 12:17:38 [warn] Temp1 223.2, Z 42.500, N 1
2021-07-11 12:17:50 [warn] Temp1 222.2, Z 42.000, N 1
2021-07-11 12:18:03 [warn] Temp1 221.2, Z 41.500, N 1
2021-07-11 12:18:15 [warn] Temp1 220.0, Z 41.000, N 1
2021-07-11 12:18:27 [warn] Temp1 218.0, Z 40.500, N 1
2021-07-11 12:18:40 [warn] Temp1 215.8, Z 40.000, N 1
2021-07-11 12:18:52 [warn] Temp1 213.0, Z 39.500, N 1
2021-07-11 12:19:04 [warn] Temp1 208.8, Z 39.000, N 1
2021-07-11 12:19:17 [warn] Temp1 205.0, Z 38.500, N 1
2021-07-11 12:19:29 [warn] Temp1 200.2, Z 38.000, N 1
2021-07-11 12:19:41 [warn] Temp1 194.0, Z 37.500, N 1
2021-07-11 12:19:54 [warn] Temp1 185.5, Z 37.000, N 1
2021-07-11 12:20:06 [warn] Temp1 177.8, Z 36.500, N 1
2021-07-11 12:20:18 [warn] Temp1 167.2, Z 36.000, N 1
2021-07-11 12:20:30 [warn] Temp1 155.0, Z 35.500, N 1
2021-07-11 12:20:43 [warn] Temp1 141.8, Z 35.000, N 1
2021-07-11 12:20:55 [warn] Temp1 127.8, Z 34.500, N 1
2021-07-11 12:21:07 [warn] Temp1 113.5, Z 34.000, N 1
2021-07-11 12:21:20 [warn] Temp1 99.0, Z 33.500, N 1
2021-07-11 12:21:32 [warn] Temp1 87.2, Z 33.000, N 1
2021-07-11 12:21:44 [warn] Temp1 77.2, Z 32.500, N 1
2021-07-11 12:21:57 [warn] Temp1 69.5, Z 32.000, N 1
2021-07-11 12:22:09 [warn] Temp1 64.2, Z 31.500, N 1
2021-07-11 12:22:21 [warn] Temp1 60.0, Z 31.000, N 1
2021-07-11 12:22:34 [warn] Temp1 57.5, Z 30.500, N 1
2021-07-11 12:22:46 [warn] Temp1 56.2, Z 30.000, N 1
2021-07-11 12:22:58 [warn] Temp1 55.0, Z 29.500, N 1
2021-07-11 12:23:11 [warn] Temp1 54.0, Z 29.000, N 1
2021-07-11 12:23:23 [warn] Temp1 53.5, Z 28.500, N 1
2021-07-11 12:23:35 [warn] Temp1 53.2, Z 28.000, N 1
2021-07-11 12:23:35 [warn] Profile replicate 2
2021-07-11 12:24:25 [warn] Temp1 224.8, Z 50.000, N 2
2021-07-11 12:24:38 [warn] Temp1 224.5, Z 49.500, N 2
2021-07-11 12:24:50 [warn] Temp1 224.8, Z 49.000, N 2
2021-07-11 12:25:02 [warn] Temp1 224.5, Z 48.500, N 2
2021-07-11 12:25:15 [warn] Temp1 224.2, Z 48.000, N 2
2021-07-11 12:25:27 [warn] Temp1 224.2, Z 47.500, N 2
2021-07-11 12:25:39 [warn] Temp1 225.2, Z 47.000, N 2
2021-07-11 12:25:52 [warn] Temp1 224.8, Z 46.500, N 2
2021-07-11 12:26:04 [warn] Temp1 224.8, Z 46.000, N 2
2021-07-11 12:26:16 [warn] Temp1 224.5, Z 45.500, N 2
2021-07-11 12:26:29 [warn] Temp1 224.5, Z 45.000, N 2
2021-07-11 12:26:41 [warn] Temp1 225.0, Z 44.500, N 2
2021-07-11 12:26:53 [warn] Temp1 224.5, Z 44.000, N 2
2021-07-11 12:27:06 [warn] Temp1 224.0, Z 43.500, N 2
2021-07-11 12:27:18 [warn] Temp1 223.2, Z 43.000, N 2
2021-07-11 12:27:30 [warn] Temp1 223.2, Z 42.500, N 2
2021-07-11 12:27:43 [warn] Temp1 222.0, Z 42.000, N 2
2021-07-11 12:27:55 [warn] Temp1 221.8, Z 41.500, N 2
2021-07-11 12:28:07 [warn] Temp1 219.8, Z 41.000, N 2
2021-07-11 12:28:20 [warn] Temp1 218.0, Z 40.500, N 2
2021-07-11 12:28:32 [warn] Temp1 215.5, Z 40.000, N 2
2021-07-11 12:28:44 [warn] Temp1 212.8, Z 39.500, N 2
2021-07-11 12:28:57 [warn] Temp1 209.8, Z 39.000, N 2
2021-07-11 12:29:09 [warn] Temp1 205.8, Z 38.500, N 2
2021-07-11 12:29:21 [warn] Temp1 200.8, Z 38.000, N 2
2021-07-11 12:29:34 [warn] Temp1 194.0, Z 37.500, N 2
2021-07-11 12:29:46 [warn] Temp1 187.0, Z 37.000, N 2
2021-07-11 12:29:58 [warn] Temp1 177.5, Z 36.500, N 2
2021-07-11 12:30:11 [warn] Temp1 167.2, Z 36.000, N 2
2021-07-11 12:30:23 [warn] Temp1 155.8, Z 35.500, N 2
2021-07-11 12:30:35 [warn] Temp1 142.0, Z 35.000, N 2
2021-07-11 12:30:48 [warn] Temp1 128.2, Z 34.500, N 2
2021-07-11 12:31:00 [warn] Temp1 113.8, Z 34.000, N 2
2021-07-11 12:31:12 [warn] Temp1 99.5, Z 33.500, N 2
2021-07-11 12:31:25 [warn] Temp1 87.2, Z 33.000, N 2
2021-07-11 12:31:37 [warn] Temp1 77.5, Z 32.500, N 2
2021-07-11 12:31:49 [warn] Temp1 69.5, Z 32.000, N 2
2021-07-11 12:32:02 [warn] Temp1 64.5, Z 31.500, N 2
2021-07-11 12:32:14 [warn] Temp1 60.2, Z 31.000, N 2
2021-07-11 12:32:26 [warn] Temp1 57.5, Z 30.500, N 2
2021-07-11 12:32:39 [warn] Temp1 56.2, Z 30.000, N 2
2021-07-11 12:32:51 [warn] Temp1 55.0, Z 29.500, N 2
2021-07-11 12:33:03 [warn] Temp1 54.0, Z 29.000, N 2
2021-07-11 12:33:16 [warn] Temp1 53.5, Z 28.500, N 2
2021-07-11 12:33:28 [warn] Temp1 53.0, Z 28.000, N 2
2021-07-11 12:33:28 [warn] Profile replicate 3
2021-07-11 12:34:18 [warn] Temp1 224.0, Z 50.000, N 3
2021-07-11 12:34:30 [warn] Temp1 224.8, Z 49.500, N 3
2021-07-11 12:34:43 [warn] Temp1 224.5, Z 49.000, N 3
2021-07-11 12:34:55 [warn] Temp1 224.0, Z 48.500, N 3
2021-07-11 12:35:07 [warn] Temp1 224.5, Z 48.000, N 3
2021-07-11 12:35:20 [warn] Temp1 224.0, Z 47.500, N 3
2021-07-11 12:35:32 [warn] Temp1 224.8, Z 47.000, N 3
2021-07-11 12:35:44 [warn] Temp1 224.5, Z 46.500, N 3
2021-07-11 12:35:57 [warn] Temp1 224.5, Z 46.000, N 3
2021-07-11 12:36:09 [warn] Temp1 224.2, Z 45.500, N 3
2021-07-11 12:36:21 [warn] Temp1 224.5, Z 45.000, N 3
2021-07-11 12:36:34 [warn] Temp1 224.8, Z 44.500, N 3
2021-07-11 12:36:46 [warn] Temp1 224.2, Z 44.000, N 3
2021-07-11 12:36:58 [warn] Temp1 224.0, Z 43.500, N 3
2021-07-11 12:37:11 [warn] Temp1 223.5, Z 43.000, N 3
2021-07-11 12:37:23 [warn] Temp1 223.0, Z 42.500, N 3
2021-07-11 12:37:35 [warn] Temp1 222.2, Z 42.000, N 3
2021-07-11 12:37:48 [warn] Temp1 221.2, Z 41.500, N 3
2021-07-11 12:38:00 [warn] Temp1 220.2, Z 41.000, N 3
2021-07-11 12:38:12 [warn] Temp1 218.5, Z 40.500, N 3
2021-07-11 12:38:25 [warn] Temp1 216.0, Z 40.000, N 3
2021-07-11 12:38:37 [warn] Temp1 212.8, Z 39.500, N 3
2021-07-11 12:38:49 [warn] Temp1 209.8, Z 39.000, N 3
2021-07-11 12:39:02 [warn] Temp1 206.0, Z 38.500, N 3
2021-07-11 12:39:14 [warn] Temp1 200.8, Z 38.000, N 3
2021-07-11 12:39:26 [warn] Temp1 194.2, Z 37.500, N 3
2021-07-11 12:39:39 [warn] Temp1 186.2, Z 37.000, N 3
2021-07-11 12:39:51 [warn] Temp1 178.2, Z 36.500, N 3
2021-07-11 12:40:03 [warn] Temp1 167.2, Z 36.000, N 3
2021-07-11 12:40:16 [warn] Temp1 155.8, Z 35.500, N 3
2021-07-11 12:40:28 [warn] Temp1 142.5, Z 35.000, N 3
2021-07-11 12:40:40 [warn] Temp1 128.0, Z 34.500, N 3
2021-07-11 12:40:53 [warn] Temp1 113.8, Z 34.000, N 3
2021-07-11 12:41:05 [warn] Temp1 100.0, Z 33.500, N 3
2021-07-11 12:41:17 [warn] Temp1 87.5, Z 33.000, N 3
2021-07-11 12:41:30 [warn] Temp1 77.5, Z 32.500, N 3
2021-07-11 12:41:42 [warn] Temp1 69.2, Z 32.000, N 3
2021-07-11 12:41:54 [warn] Temp1 64.5, Z 31.500, N 3
2021-07-11 12:42:07 [warn] Temp1 60.2, Z 31.000, N 3
2021-07-11 12:42:19 [warn] Temp1 58.0, Z 30.500, N 3
2021-07-11 12:42:31 [warn] Temp1 56.0, Z 30.000, N 3
