2021-07-12 13:31:38 [info] Event logging started at level warn
2021-07-12 13:31:38 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-12 13:33:04 [warn] Error: Heater 0 fault: temperature rising much more slowly than the expected 1.7°C/sec
2021-07-12 13:33:04 [warn] Beginning heatbreak profile
2021-07-12 13:33:04 [warn] Temp0 101.6
2021-07-12 13:33:04 [warn] Temp1 24.7
2021-07-12 13:33:04 [warn] Temp2 24.1
2021-07-12 13:33:04 [warn] Temp3 97.0
2021-07-12 13:33:04 [warn] Profile replicate 1
2021-07-12 13:33:39 [info] Event logging stopped
2021-07-12 13:47:26 [info] Event logging started at level warn
2021-07-12 13:47:26 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-12 13:48:29 [warn] Beginning heatbreak profile
2021-07-12 13:48:29 [warn] Temp0 219.8
2021-07-12 13:48:29 [warn] Temp1 25.2
2021-07-12 13:48:29 [warn] Temp2 24.0
2021-07-12 13:48:29 [warn] Temp3 195.0
2021-07-12 13:48:29 [warn] Profile replicate 1
2021-07-12 13:49:11 [warn] Temp1 223.2, Z 50.000, N 1
2021-07-12 13:49:23 [warn] Temp1 224.0, Z 49.500, N 1
2021-07-12 13:49:35 [warn] Temp1 223.5, Z 49.000, N 1
2021-07-12 13:49:48 [warn] Temp1 224.0, Z 48.500, N 1
2021-07-12 13:50:00 [warn] Temp1 224.0, Z 48.000, N 1
2021-07-12 13:50:12 [warn] Temp1 223.8, Z 47.500, N 1
2021-07-12 13:50:25 [warn] Temp1 224.0, Z 47.000, N 1
2021-07-12 13:50:37 [warn] Temp1 224.0, Z 46.500, N 1
2021-07-12 13:50:49 [warn] Temp1 224.0, Z 46.000, N 1
2021-07-12 13:51:02 [warn] Temp1 224.2, Z 45.500, N 1
2021-07-12 13:51:14 [warn] Temp1 224.5, Z 45.000, N 1
2021-07-12 13:51:26 [warn] Temp1 224.8, Z 44.500, N 1
2021-07-12 13:51:39 [warn] Temp1 225.0, Z 44.000, N 1
2021-07-12 13:51:51 [warn] Temp1 224.2, Z 43.500, N 1
2021-07-12 13:52:03 [warn] Temp1 224.2, Z 43.000, N 1
2021-07-12 13:52:16 [warn] Temp1 224.5, Z 42.500, N 1
2021-07-12 13:52:28 [warn] Temp1 223.8, Z 42.000, N 1
2021-07-12 13:52:40 [warn] Temp1 224.0, Z 41.500, N 1
2021-07-12 13:52:53 [warn] Temp1 223.2, Z 41.000, N 1
2021-07-12 13:53:05 [warn] Temp1 222.2, Z 40.500, N 1
2021-07-12 13:53:17 [warn] Temp1 222.2, Z 40.000, N 1
2021-07-12 13:53:30 [warn] Temp1 221.5, Z 39.500, N 1
2021-07-12 13:53:42 [warn] Temp1 219.5, Z 39.000, N 1
2021-07-12 13:53:54 [warn] Temp1 217.8, Z 38.500, N 1
2021-07-12 13:54:07 [warn] Temp1 215.5, Z 38.000, N 1
2021-07-12 13:54:19 [warn] Temp1 212.2, Z 37.500, N 1
2021-07-12 13:54:31 [warn] Temp1 207.5, Z 37.000, N 1
2021-07-12 13:54:44 [warn] Temp1 201.5, Z 36.500, N 1
2021-07-12 13:54:56 [warn] Temp1 193.0, Z 36.000, N 1
2021-07-12 13:55:08 [warn] Temp1 182.2, Z 35.500, N 1
2021-07-12 13:55:21 [warn] Temp1 168.5, Z 35.000, N 1
2021-07-12 13:55:33 [warn] Temp1 149.8, Z 34.500, N 1
2021-07-12 13:55:45 [warn] Temp1 129.8, Z 34.000, N 1
2021-07-12 13:55:58 [warn] Temp1 107.8, Z 33.500, N 1
2021-07-12 13:56:10 [warn] Temp1 87.0, Z 33.000, N 1
2021-07-12 13:56:22 [warn] Temp1 70.2, Z 32.500, N 1
2021-07-12 13:56:35 [warn] Temp1 58.5, Z 32.000, N 1
2021-07-12 13:56:47 [warn] Temp1 52.2, Z 31.500, N 1
2021-07-12 13:56:59 [warn] Temp1 49.0, Z 31.000, N 1
2021-07-12 13:57:12 [warn] Temp1 47.8, Z 30.500, N 1
2021-07-12 13:57:24 [warn] Temp1 47.0, Z 30.000, N 1
2021-07-12 13:57:36 [warn] Temp1 46.8, Z 29.500, N 1
2021-07-12 13:57:49 [warn] Temp1 46.5, Z 29.000, N 1
2021-07-12 13:58:01 [warn] Temp1 46.0, Z 28.500, N 1
2021-07-12 13:58:13 [warn] Temp1 46.0, Z 28.000, N 1
2021-07-12 13:58:13 [warn] Profile replicate 2
2021-07-12 13:59:03 [warn] Temp1 224.2, Z 50.000, N 2
2021-07-12 13:59:16 [warn] Temp1 224.0, Z 49.500, N 2
2021-07-12 13:59:28 [warn] Temp1 224.0, Z 49.000, N 2
2021-07-12 13:59:40 [warn] Temp1 224.8, Z 48.500, N 2
2021-07-12 13:59:53 [warn] Temp1 224.5, Z 48.000, N 2
2021-07-12 14:00:05 [warn] Temp1 224.5, Z 47.500, N 2
2021-07-12 14:00:17 [warn] Temp1 224.5, Z 47.000, N 2
2021-07-12 14:00:30 [warn] Temp1 224.0, Z 46.500, N 2
2021-07-12 14:00:42 [warn] Temp1 224.5, Z 46.000, N 2
2021-07-12 14:00:54 [warn] Temp1 224.8, Z 45.500, N 2
2021-07-12 14:01:07 [warn] Temp1 224.2, Z 45.000, N 2
2021-07-12 14:01:19 [warn] Temp1 224.2, Z 44.500, N 2
2021-07-12 14:01:31 [warn] Temp1 224.8, Z 44.000, N 2
2021-07-12 14:01:44 [warn] Temp1 224.8, Z 43.500, N 2
2021-07-12 14:01:56 [warn] Temp1 224.5, Z 43.000, N 2
2021-07-12 14:02:08 [warn] Temp1 224.2, Z 42.500, N 2
2021-07-12 14:02:21 [warn] Temp1 223.8, Z 42.000, N 2
2021-07-12 14:02:33 [warn] Temp1 224.0, Z 41.500, N 2
2021-07-12 14:02:45 [warn] Temp1 223.5, Z 41.000, N 2
2021-07-12 14:02:58 [warn] Temp1 223.2, Z 40.500, N 2
2021-07-12 14:03:10 [warn] Temp1 222.0, Z 40.000, N 2
2021-07-12 14:03:22 [warn] Temp1 221.2, Z 39.500, N 2
2021-07-12 14:03:35 [warn] Temp1 220.8, Z 39.000, N 2
2021-07-12 14:03:47 [warn] Temp1 218.5, Z 38.500, N 2
2021-07-12 14:03:59 [warn] Temp1 215.8, Z 38.000, N 2
2021-07-12 14:04:12 [warn] Temp1 212.2, Z 37.500, N 2
2021-07-12 14:04:24 [warn] Temp1 207.8, Z 37.000, N 2
2021-07-12 14:04:36 [warn] Temp1 201.8, Z 36.500, N 2
2021-07-12 14:04:49 [warn] Temp1 193.2, Z 36.000, N 2
2021-07-12 14:05:01 [warn] Temp1 182.5, Z 35.500, N 2
2021-07-12 14:05:13 [warn] Temp1 168.5, Z 35.000, N 2
2021-07-12 14:05:26 [warn] Temp1 151.0, Z 34.500, N 2
2021-07-12 14:05:38 [warn] Temp1 130.0, Z 34.000, N 2
2021-07-12 14:05:50 [warn] Temp1 108.2, Z 33.500, N 2
2021-07-12 14:06:03 [warn] Temp1 87.0, Z 33.000, N 2
2021-07-12 14:06:15 [warn] Temp1 69.8, Z 32.500, N 2
2021-07-12 14:06:27 [warn] Temp1 58.2, Z 32.000, N 2
2021-07-12 14:06:40 [warn] Temp1 52.0, Z 31.500, N 2
2021-07-12 14:06:52 [warn] Temp1 48.5, Z 31.000, N 2
2021-07-12 14:07:04 [warn] Temp1 47.5, Z 30.500, N 2
2021-07-12 14:07:17 [warn] Temp1 47.0, Z 30.000, N 2
2021-07-12 14:07:29 [warn] Temp1 47.0, Z 29.500, N 2
2021-07-12 14:07:41 [warn] Temp1 46.8, Z 29.000, N 2
2021-07-12 14:07:54 [warn] Temp1 46.5, Z 28.500, N 2
2021-07-12 14:08:06 [warn] Temp1 45.8, Z 28.000, N 2
2021-07-12 14:08:06 [warn] Profile replicate 3
2021-07-12 14:08:56 [warn] Temp1 224.0, Z 50.000, N 3
2021-07-12 14:09:08 [warn] Temp1 224.2, Z 49.500, N 3
2021-07-12 14:09:20 [warn] Temp1 223.8, Z 49.000, N 3
2021-07-12 14:09:33 [warn] Temp1 223.8, Z 48.500, N 3
2021-07-12 14:09:45 [warn] Temp1 224.0, Z 48.000, N 3
2021-07-12 14:09:57 [warn] Temp1 224.2, Z 47.500, N 3
2021-07-12 14:10:10 [warn] Temp1 224.5, Z 47.000, N 3
2021-07-12 14:10:22 [warn] Temp1 224.5, Z 46.500, N 3
2021-07-12 14:10:34 [warn] Temp1 224.2, Z 46.000, N 3
2021-07-12 14:10:47 [warn] Temp1 224.8, Z 45.500, N 3
2021-07-12 14:10:59 [warn] Temp1 224.8, Z 45.000, N 3
2021-07-12 14:11:11 [warn] Temp1 225.0, Z 44.500, N 3
2021-07-12 14:11:24 [warn] Temp1 224.2, Z 44.000, N 3
2021-07-12 14:11:36 [warn] Temp1 224.5, Z 43.500, N 3
2021-07-12 14:11:48 [warn] Temp1 224.2, Z 43.000, N 3
2021-07-12 14:12:01 [warn] Temp1 224.0, Z 42.500, N 3
2021-07-12 14:12:13 [warn] Temp1 223.8, Z 42.000, N 3
2021-07-12 14:12:25 [warn] Temp1 224.0, Z 41.500, N 3
2021-07-12 14:12:38 [warn] Temp1 223.5, Z 41.000, N 3
2021-07-12 14:12:50 [warn] Temp1 223.5, Z 40.500, N 3
2021-07-12 14:13:02 [warn] Temp1 222.8, Z 40.000, N 3
2021-07-12 14:13:15 [warn] Temp1 221.8, Z 39.500, N 3
2021-07-12 14:13:27 [warn] Temp1 220.2, Z 39.000, N 3
2021-07-12 14:13:39 [warn] Temp1 218.2, Z 38.500, N 3
2021-07-12 14:13:52 [warn] Temp1 216.0, Z 38.000, N 3
2021-07-12 14:14:04 [warn] Temp1 212.2, Z 37.500, N 3
2021-07-12 14:14:16 [warn] Temp1 207.8, Z 37.000, N 3
2021-07-12 14:14:29 [warn] Temp1 202.2, Z 36.500, N 3
2021-07-12 14:14:41 [warn] Temp1 193.5, Z 36.000, N 3
2021-07-12 14:14:53 [warn] Temp1 183.8, Z 35.500, N 3
2021-07-12 14:15:06 [warn] Temp1 169.0, Z 35.000, N 3
2021-07-12 14:15:18 [warn] Temp1 151.2, Z 34.500, N 3
2021-07-12 14:15:30 [warn] Temp1 130.5, Z 34.000, N 3
2021-07-12 14:15:43 [warn] Temp1 108.2, Z 33.500, N 3
2021-07-12 14:15:55 [warn] Temp1 87.0, Z 33.000, N 3
2021-07-12 14:16:07 [warn] Temp1 70.0, Z 32.500, N 3
2021-07-12 14:16:20 [warn] Temp1 58.8, Z 32.000, N 3
2021-07-12 14:16:32 [warn] Temp1 51.5, Z 31.500, N 3
2021-07-12 14:16:44 [warn] Temp1 48.8, Z 31.000, N 3
2021-07-12 14:16:57 [warn] Temp1 47.5, Z 30.500, N 3
2021-07-12 14:17:09 [warn] Temp1 46.5, Z 30.000, N 3
2021-07-12 14:17:21 [warn] Temp1 46.8, Z 29.500, N 3
2021-07-12 14:17:34 [warn] Temp1 46.5, Z 29.000, N 3
2021-07-12 14:17:46 [warn] Temp1 46.5, Z 28.500, N 3
2021-07-12 14:17:58 [warn] Temp1 46.5, Z 28.000, N 3
2021-07-12 14:17:58 [warn] Ending heatbreak profile
2021-07-12 14:17:59 [info] Event logging stopped
