2021-07-12 11:44:19 [info] Event logging started at level warn
2021-07-12 11:44:19 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-12 11:47:09 [warn] Beginning heatbreak profile
2021-07-12 11:47:09 [warn] Temp0 219.2
2021-07-12 11:47:09 [warn] Temp1 24.4
2021-07-12 11:47:09 [warn] Temp2 22.9
2021-07-12 11:47:09 [warn] Temp3 220.2
2021-07-12 11:47:09 [warn] Profile replicate 1
2021-07-12 11:47:51 [warn] Temp1 225.5, Z 50.000, N 1
2021-07-12 11:48:04 [warn] Temp1 225.5, Z 49.500, N 1
2021-07-12 11:48:16 [warn] Temp1 224.5, Z 49.000, N 1
2021-07-12 11:48:28 [warn] Temp1 224.0, Z 48.500, N 1
2021-07-12 11:48:41 [warn] Temp1 223.8, Z 48.000, N 1
2021-07-12 11:48:53 [warn] Temp1 224.0, Z 47.500, N 1
2021-07-12 11:49:05 [warn] Temp1 223.5, Z 47.000, N 1
2021-07-12 11:49:18 [warn] Temp1 224.0, Z 46.500, N 1
2021-07-12 11:49:30 [warn] Temp1 224.5, Z 46.000, N 1
2021-07-12 11:49:42 [warn] Temp1 224.8, Z 45.500, N 1
2021-07-12 11:49:55 [warn] Temp1 224.2, Z 45.000, N 1
2021-07-12 11:50:07 [warn] Temp1 224.8, Z 44.500, N 1
2021-07-12 11:50:19 [warn] Temp1 225.0, Z 44.000, N 1
2021-07-12 11:50:32 [warn] Temp1 224.0, Z 43.500, N 1
2021-07-12 11:50:44 [warn] Temp1 224.5, Z 43.000, N 1
2021-07-12 11:50:56 [warn] Temp1 224.0, Z 42.500, N 1
2021-07-12 11:51:09 [warn] Temp1 224.0, Z 42.000, N 1
2021-07-12 11:51:21 [warn] Temp1 224.2, Z 41.500, N 1
2021-07-12 11:51:33 [warn] Temp1 223.8, Z 41.000, N 1
2021-07-12 11:51:46 [warn] Temp1 223.0, Z 40.500, N 1
2021-07-12 11:51:58 [warn] Temp1 222.8, Z 40.000, N 1
2021-07-12 11:52:10 [warn] Temp1 221.8, Z 39.500, N 1
2021-07-12 11:52:23 [warn] Temp1 220.2, Z 39.000, N 1
2021-07-12 11:52:35 [warn] Temp1 219.0, Z 38.500, N 1
2021-07-12 11:52:47 [warn] Temp1 216.5, Z 38.000, N 1
2021-07-12 11:53:00 [warn] Temp1 213.2, Z 37.500, N 1
2021-07-12 11:53:12 [warn] Temp1 209.0, Z 37.000, N 1
2021-07-12 11:53:24 [warn] Temp1 203.2, Z 36.500, N 1
2021-07-12 11:53:37 [warn] Temp1 195.8, Z 36.000, N 1
2021-07-12 11:53:49 [warn] Temp1 185.8, Z 35.500, N 1
2021-07-12 11:54:01 [warn] Temp1 172.0, Z 35.000, N 1
2021-07-12 11:54:14 [warn] Temp1 156.2, Z 34.500, N 1
2021-07-12 11:54:26 [warn] Temp1 136.0, Z 34.000, N 1
2021-07-12 11:54:38 [warn] Temp1 113.5, Z 33.500, N 1
2021-07-12 11:54:51 [warn] Temp1 92.5, Z 33.000, N 1
2021-07-12 11:55:03 [warn] Temp1 73.8, Z 32.500, N 1
2021-07-12 11:55:15 [warn] Temp1 61.2, Z 32.000, N 1
2021-07-12 11:55:28 [warn] Temp1 52.2, Z 31.500, N 1
2021-07-12 11:55:40 [warn] Temp1 48.8, Z 31.000, N 1
2021-07-12 11:55:52 [warn] Temp1 47.5, Z 30.500, N 1
2021-07-12 11:56:05 [warn] Temp1 46.5, Z 30.000, N 1
2021-07-12 11:56:17 [warn] Temp1 46.2, Z 29.500, N 1
2021-07-12 11:56:29 [warn] Temp1 46.0, Z 29.000, N 1
2021-07-12 11:56:42 [warn] Temp1 45.8, Z 28.500, N 1
2021-07-12 11:56:54 [warn] Temp1 46.0, Z 28.000, N 1
2021-07-12 11:56:54 [warn] Profile replicate 2
2021-07-12 11:57:44 [warn] Temp1 223.8, Z 50.000, N 2
2021-07-12 11:57:56 [warn] Temp1 224.2, Z 49.500, N 2
2021-07-12 11:58:09 [warn] Temp1 224.2, Z 49.000, N 2
2021-07-12 11:58:21 [warn] Temp1 224.5, Z 48.500, N 2
2021-07-12 11:58:33 [warn] Temp1 224.0, Z 48.000, N 2
2021-07-12 11:58:46 [warn] Temp1 224.5, Z 47.500, N 2
2021-07-12 11:58:58 [warn] Temp1 224.2, Z 47.000, N 2
2021-07-12 11:59:10 [warn] Temp1 224.0, Z 46.500, N 2
2021-07-12 11:59:23 [warn] Temp1 224.5, Z 46.000, N 2
2021-07-12 11:59:35 [warn] Temp1 224.8, Z 45.500, N 2
2021-07-12 11:59:47 [warn] Temp1 224.8, Z 45.000, N 2
2021-07-12 12:00:00 [warn] Temp1 225.0, Z 44.500, N 2
2021-07-12 12:00:12 [warn] Temp1 224.5, Z 44.000, N 2
2021-07-12 12:00:24 [warn] Temp1 224.2, Z 43.500, N 2
2021-07-12 12:00:37 [warn] Temp1 224.5, Z 43.000, N 2
2021-07-12 12:00:49 [warn] Temp1 224.8, Z 42.500, N 2
2021-07-12 12:01:01 [warn] Temp1 223.8, Z 42.000, N 2
2021-07-12 12:01:14 [warn] Temp1 224.0, Z 41.500, N 2
2021-07-12 12:01:26 [warn] Temp1 223.5, Z 41.000, N 2
2021-07-12 12:01:38 [warn] Temp1 223.5, Z 40.500, N 2
2021-07-12 12:01:51 [warn] Temp1 222.8, Z 40.000, N 2
2021-07-12 12:02:03 [warn] Temp1 221.8, Z 39.500, N 2
2021-07-12 12:02:15 [warn] Temp1 220.8, Z 39.000, N 2
2021-07-12 12:02:27 [warn] Temp1 218.2, Z 38.500, N 2
2021-07-12 12:02:40 [warn] Temp1 216.5, Z 38.000, N 2
2021-07-12 12:02:52 [warn] Temp1 213.2, Z 37.500, N 2
2021-07-12 12:03:04 [warn] Temp1 209.2, Z 37.000, N 2
2021-07-12 12:03:17 [warn] Temp1 203.0, Z 36.500, N 2
2021-07-12 12:03:29 [warn] Temp1 195.2, Z 36.000, N 2
2021-07-12 12:03:41 [warn] Temp1 185.5, Z 35.500, N 2
2021-07-12 12:03:54 [warn] Temp1 172.8, Z 35.000, N 2
2021-07-12 12:04:06 [warn] Temp1 156.0, Z 34.500, N 2
2021-07-12 12:04:18 [warn] Temp1 136.0, Z 34.000, N 2
2021-07-12 12:04:31 [warn] Temp1 114.0, Z 33.500, N 2
2021-07-12 12:04:43 [warn] Temp1 92.8, Z 33.000, N 2
2021-07-12 12:04:55 [warn] Temp1 74.5, Z 32.500, N 2
2021-07-12 12:05:08 [warn] Temp1 61.0, Z 32.000, N 2
2021-07-12 12:05:20 [warn] Temp1 53.2, Z 31.500, N 2
2021-07-12 12:05:32 [warn] Temp1 49.2, Z 31.000, N 2
2021-07-12 12:05:45 [warn] Temp1 47.5, Z 30.500, N 2
2021-07-12 12:05:57 [warn] Temp1 47.0, Z 30.000, N 2
2021-07-12 12:06:09 [warn] Temp1 46.5, Z 29.500, N 2
2021-07-12 12:06:22 [warn] Temp1 46.5, Z 29.000, N 2
2021-07-12 12:06:34 [warn] Temp1 46.0, Z 28.500, N 2
2021-07-12 12:06:46 [warn] Temp1 45.5, Z 28.000, N 2
2021-07-12 12:06:46 [warn] Profile replicate 3
2021-07-12 12:07:36 [warn] Temp1 223.5, Z 50.000, N 3
2021-07-12 12:07:49 [warn] Temp1 224.2, Z 49.500, N 3
2021-07-12 12:08:01 [warn] Temp1 224.2, Z 49.000, N 3
2021-07-12 12:08:13 [warn] Temp1 224.2, Z 48.500, N 3
2021-07-12 12:08:26 [warn] Temp1 224.5, Z 48.000, N 3
2021-07-12 12:08:38 [warn] Temp1 224.0, Z 47.500, N 3
2021-07-12 12:08:50 [warn] Temp1 224.2, Z 47.000, N 3
2021-07-12 12:09:03 [warn] Temp1 224.2, Z 46.500, N 3
2021-07-12 12:09:15 [warn] Temp1 224.5, Z 46.000, N 3
2021-07-12 12:09:27 [warn] Temp1 224.5, Z 45.500, N 3
2021-07-12 12:09:40 [warn] Temp1 224.5, Z 45.000, N 3
2021-07-12 12:09:52 [warn] Temp1 224.8, Z 44.500, N 3
2021-07-12 12:10:04 [warn] Temp1 224.2, Z 44.000, N 3
2021-07-12 12:10:17 [warn] Temp1 224.8, Z 43.500, N 3
2021-07-12 12:10:29 [warn] Temp1 224.8, Z 43.000, N 3
2021-07-12 12:10:41 [warn] Temp1 224.5, Z 42.500, N 3
2021-07-12 12:10:54 [warn] Temp1 224.0, Z 42.000, N 3
2021-07-12 12:11:06 [warn] Temp1 224.5, Z 41.500, N 3
2021-07-12 12:11:18 [warn] Temp1 224.2, Z 41.000, N 3
2021-07-12 12:11:31 [warn] Temp1 223.5, Z 40.500, N 3
2021-07-12 12:11:43 [warn] Temp1 222.8, Z 40.000, N 3
2021-07-12 12:11:55 [warn] Temp1 221.8, Z 39.500, N 3
2021-07-12 12:12:08 [warn] Temp1 221.0, Z 39.000, N 3
2021-07-12 12:12:20 [warn] Temp1 219.0, Z 38.500, N 3
2021-07-12 12:12:32 [warn] Temp1 216.2, Z 38.000, N 3
2021-07-12 12:12:45 [warn] Temp1 213.5, Z 37.500, N 3
2021-07-12 12:12:57 [warn] Temp1 209.2, Z 37.000, N 3
2021-07-12 12:13:09 [warn] Temp1 203.2, Z 36.500, N 3
2021-07-12 12:13:22 [warn] Temp1 195.8, Z 36.000, N 3
2021-07-12 12:13:34 [warn] Temp1 185.5, Z 35.500, N 3
2021-07-12 12:13:46 [warn] Temp1 172.5, Z 35.000, N 3
2021-07-12 12:13:59 [warn] Temp1 156.2, Z 34.500, N 3
2021-07-12 12:14:11 [warn] Temp1 136.2, Z 34.000, N 3
2021-07-12 12:14:23 [warn] Temp1 114.8, Z 33.500, N 3
2021-07-12 12:14:36 [warn] Temp1 93.2, Z 33.000, N 3
2021-07-12 12:14:48 [warn] Temp1 74.5, Z 32.500, N 3
2021-07-12 12:15:00 [warn] Temp1 61.2, Z 32.000, N 3
2021-07-12 12:15:13 [warn] Temp1 53.2, Z 31.500, N 3
2021-07-12 12:15:25 [warn] Temp1 49.0, Z 31.000, N 3
2021-07-12 12:15:37 [warn] Temp1 47.0, Z 30.500, N 3
2021-07-12 12:15:50 [warn] Temp1 46.5, Z 30.000, N 3
2021-07-12 12:16:02 [warn] Temp1 46.2, Z 29.500, N 3
2021-07-12 12:16:14 [warn] Temp1 45.8, Z 29.000, N 3
2021-07-12 12:16:27 [warn] Temp1 45.8, Z 28.500, N 3
2021-07-12 12:16:39 [warn] Temp1 45.0, Z 28.000, N 3
2021-07-12 12:16:39 [warn] Ending heatbreak profile
2021-07-12 12:16:39 [info] Event logging stopped
