2021-07-12 10:35:58 [info] Event logging started at level warn
2021-07-12 10:35:58 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-12 10:38:04 [warn] Beginning heatbreak profile
2021-07-12 10:38:04 [warn] Temp0 219.0
2021-07-12 10:38:04 [warn] Temp1 24.1
2021-07-12 10:38:04 [warn] Temp2 22.9
2021-07-12 10:38:04 [warn] Temp3 222.8
2021-07-12 10:38:04 [warn] Profile replicate 1
2021-07-12 10:38:46 [warn] Temp1 228.0, Z 50.000, N 1
2021-07-12 10:38:58 [warn] Temp1 226.8, Z 49.500, N 1
2021-07-12 10:39:10 [warn] Temp1 226.0, Z 49.000, N 1
2021-07-12 10:39:23 [warn] Temp1 224.8, Z 48.500, N 1
2021-07-12 10:39:35 [warn] Temp1 224.8, Z 48.000, N 1
2021-07-12 10:39:47 [warn] Temp1 225.5, Z 47.500, N 1
2021-07-12 10:40:00 [warn] Temp1 225.5, Z 47.000, N 1
2021-07-12 10:40:12 [warn] Temp1 225.5, Z 46.500, N 1
2021-07-12 10:40:24 [warn] Temp1 226.0, Z 46.000, N 1
2021-07-12 10:40:37 [warn] Temp1 226.2, Z 45.500, N 1
2021-07-12 10:40:49 [warn] Temp1 225.8, Z 45.000, N 1
2021-07-12 10:41:01 [warn] Temp1 225.5, Z 44.500, N 1
2021-07-12 10:41:14 [warn] Temp1 226.0, Z 44.000, N 1
2021-07-12 10:41:26 [warn] Temp1 225.5, Z 43.500, N 1
2021-07-12 10:41:38 [warn] Temp1 225.8, Z 43.000, N 1
2021-07-12 10:41:51 [warn] Temp1 225.5, Z 42.500, N 1
2021-07-12 10:42:03 [warn] Temp1 225.8, Z 42.000, N 1
2021-07-12 10:42:15 [warn] Temp1 225.2, Z 41.500, N 1
2021-07-12 10:42:28 [warn] Temp1 225.2, Z 41.000, N 1
2021-07-12 10:42:40 [warn] Temp1 223.5, Z 40.500, N 1
2021-07-12 10:42:52 [warn] Temp1 223.8, Z 40.000, N 1
2021-07-12 10:43:05 [warn] Temp1 223.5, Z 39.500, N 1
2021-07-12 10:43:17 [warn] Temp1 222.2, Z 39.000, N 1
2021-07-12 10:43:29 [warn] Temp1 221.0, Z 38.500, N 1
2021-07-12 10:43:42 [warn] Temp1 219.2, Z 38.000, N 1
2021-07-12 10:43:54 [warn] Temp1 216.2, Z 37.500, N 1
2021-07-12 10:44:06 [warn] Temp1 213.2, Z 37.000, N 1
2021-07-12 10:44:19 [warn] Temp1 209.0, Z 36.500, N 1
2021-07-12 10:44:31 [warn] Temp1 203.5, Z 36.000, N 1
2021-07-12 10:44:43 [warn] Temp1 196.0, Z 35.500, N 1
2021-07-12 10:44:56 [warn] Temp1 186.0, Z 35.000, N 1
2021-07-12 10:45:08 [warn] Temp1 173.0, Z 34.500, N 1
2021-07-12 10:45:20 [warn] Temp1 157.2, Z 34.000, N 1
2021-07-12 10:45:33 [warn] Temp1 138.8, Z 33.500, N 1
2021-07-12 10:45:45 [warn] Temp1 119.8, Z 33.000, N 1
2021-07-12 10:45:57 [warn] Temp1 100.8, Z 32.500, N 1
2021-07-12 10:46:10 [warn] Temp1 83.5, Z 32.000, N 1
2021-07-12 10:46:22 [warn] Temp1 70.8, Z 31.500, N 1
2021-07-12 10:46:34 [warn] Temp1 62.0, Z 31.000, N 1
2021-07-12 10:46:47 [warn] Temp1 57.2, Z 30.500, N 1
2021-07-12 10:46:59 [warn] Temp1 54.2, Z 30.000, N 1
2021-07-12 10:47:11 [warn] Temp1 53.5, Z 29.500, N 1
2021-07-12 10:47:24 [warn] Temp1 53.0, Z 29.000, N 1
2021-07-12 10:47:36 [warn] Temp1 52.2, Z 28.500, N 1
2021-07-12 10:47:48 [warn] Temp1 52.0, Z 28.000, N 1
2021-07-12 10:47:48 [warn] Profile replicate 2
2021-07-12 10:48:38 [warn] Temp1 225.5, Z 50.000, N 2
2021-07-12 10:48:51 [warn] Temp1 225.2, Z 49.500, N 2
2021-07-12 10:49:03 [warn] Temp1 225.8, Z 49.000, N 2
2021-07-12 10:49:15 [warn] Temp1 225.5, Z 48.500, N 2
2021-07-12 10:49:28 [warn] Temp1 226.0, Z 48.000, N 2
2021-07-12 10:49:40 [warn] Temp1 225.8, Z 47.500, N 2
2021-07-12 10:49:52 [warn] Temp1 225.8, Z 47.000, N 2
2021-07-12 10:50:05 [warn] Temp1 225.2, Z 46.500, N 2
2021-07-12 10:50:17 [warn] Temp1 225.8, Z 46.000, N 2
2021-07-12 10:50:29 [warn] Temp1 225.8, Z 45.500, N 2
2021-07-12 10:50:42 [warn] Temp1 226.2, Z 45.000, N 2
2021-07-12 10:50:54 [warn] Temp1 225.5, Z 44.500, N 2
2021-07-12 10:51:06 [warn] Temp1 226.0, Z 44.000, N 2
2021-07-12 10:51:19 [warn] Temp1 225.8, Z 43.500, N 2
2021-07-12 10:51:31 [warn] Temp1 225.5, Z 43.000, N 2
2021-07-12 10:51:43 [warn] Temp1 225.2, Z 42.500, N 2
2021-07-12 10:51:56 [warn] Temp1 225.5, Z 42.000, N 2
2021-07-12 10:52:08 [warn] Temp1 225.0, Z 41.500, N 2
2021-07-12 10:52:20 [warn] Temp1 224.8, Z 41.000, N 2
2021-07-12 10:52:33 [warn] Temp1 224.5, Z 40.500, N 2
2021-07-12 10:52:45 [warn] Temp1 223.8, Z 40.000, N 2
2021-07-12 10:52:57 [warn] Temp1 222.8, Z 39.500, N 2
2021-07-12 10:53:10 [warn] Temp1 222.2, Z 39.000, N 2
2021-07-12 10:53:22 [warn] Temp1 220.0, Z 38.500, N 2
2021-07-12 10:53:34 [warn] Temp1 218.8, Z 38.000, N 2
2021-07-12 10:53:47 [warn] Temp1 216.5, Z 37.500, N 2
2021-07-12 10:53:59 [warn] Temp1 213.5, Z 37.000, N 2
2021-07-12 10:54:11 [warn] Temp1 209.0, Z 36.500, N 2
2021-07-12 10:54:24 [warn] Temp1 202.8, Z 36.000, N 2
2021-07-12 10:54:36 [warn] Temp1 195.0, Z 35.500, N 2
2021-07-12 10:54:48 [warn] Temp1 185.2, Z 35.000, N 2
2021-07-12 10:55:01 [warn] Temp1 172.5, Z 34.500, N 2
2021-07-12 10:55:13 [warn] Temp1 156.5, Z 34.000, N 2
2021-07-12 10:55:25 [warn] Temp1 138.2, Z 33.500, N 2
2021-07-12 10:55:38 [warn] Temp1 118.8, Z 33.000, N 2
2021-07-12 10:55:50 [warn] Temp1 99.0, Z 32.500, N 2
2021-07-12 10:56:02 [warn] Temp1 82.8, Z 32.000, N 2
2021-07-12 10:56:15 [warn] Temp1 69.5, Z 31.500, N 2
2021-07-12 10:56:27 [warn] Temp1 61.2, Z 31.000, N 2
2021-07-12 10:56:39 [warn] Temp1 55.2, Z 30.500, N 2
2021-07-12 10:56:52 [warn] Temp1 53.0, Z 30.000, N 2
2021-07-12 10:57:04 [warn] Temp1 51.5, Z 29.500, N 2
2021-07-12 10:57:16 [warn] Temp1 51.2, Z 29.000, N 2
2021-07-12 10:57:29 [warn] Temp1 50.8, Z 28.500, N 2
2021-07-12 10:57:41 [warn] Temp1 50.0, Z 28.000, N 2
2021-07-12 10:57:41 [warn] Profile replicate 3
2021-07-12 10:58:31 [warn] Temp1 225.5, Z 50.000, N 3
2021-07-12 10:58:43 [warn] Temp1 225.5, Z 49.500, N 3
2021-07-12 10:58:56 [warn] Temp1 225.2, Z 49.000, N 3
2021-07-12 10:59:08 [warn] Temp1 225.8, Z 48.500, N 3
2021-07-12 10:59:20 [warn] Temp1 225.2, Z 48.000, N 3
2021-07-12 10:59:33 [warn] Temp1 225.8, Z 47.500, N 3
2021-07-12 10:59:45 [warn] Temp1 226.0, Z 47.000, N 3
2021-07-12 10:59:57 [warn] Temp1 225.8, Z 46.500, N 3
2021-07-12 11:00:10 [warn] Temp1 225.8, Z 46.000, N 3
2021-07-12 11:00:22 [warn] Temp1 225.8, Z 45.500, N 3
2021-07-12 11:00:34 [warn] Temp1 225.8, Z 45.000, N 3
2021-07-12 11:00:47 [warn] Temp1 225.8, Z 44.500, N 3
2021-07-12 11:00:59 [warn] Temp1 225.8, Z 44.000, N 3
2021-07-12 11:01:11 [warn] Temp1 225.8, Z 43.500, N 3
2021-07-12 11:01:24 [warn] Temp1 226.0, Z 43.000, N 3
2021-07-12 11:01:36 [warn] Temp1 225.8, Z 42.500, N 3
2021-07-12 11:01:48 [warn] Temp1 225.8, Z 42.000, N 3
2021-07-12 11:02:01 [warn] Temp1 225.2, Z 41.500, N 3
2021-07-12 11:02:13 [warn] Temp1 224.8, Z 41.000, N 3
2021-07-12 11:02:25 [warn] Temp1 224.0, Z 40.500, N 3
2021-07-12 11:02:38 [warn] Temp1 224.2, Z 40.000, N 3
2021-07-12 11:02:50 [warn] Temp1 223.2, Z 39.500, N 3
2021-07-12 11:03:02 [warn] Temp1 222.5, Z 39.000, N 3
2021-07-12 11:03:15 [warn] Temp1 220.5, Z 38.500, N 3
2021-07-12 11:03:27 [warn] Temp1 218.8, Z 38.000, N 3
2021-07-12 11:03:39 [warn] Temp1 216.8, Z 37.500, N 3
2021-07-12 11:03:52 [warn] Temp1 213.8, Z 37.000, N 3
2021-07-12 11:04:04 [warn] Temp1 208.8, Z 36.500, N 3
2021-07-12 11:04:16 [warn] Temp1 203.5, Z 36.000, N 3
2021-07-12 11:04:29 [warn] Temp1 195.5, Z 35.500, N 3
2021-07-12 11:04:41 [warn] Temp1 184.8, Z 35.000, N 3
2021-07-12 11:04:53 [warn] Temp1 172.0, Z 34.500, N 3
2021-07-12 11:05:06 [warn] Temp1 156.5, Z 34.000, N 3
2021-07-12 11:05:18 [warn] Temp1 137.5, Z 33.500, N 3
2021-07-12 11:05:30 [warn] Temp1 118.2, Z 33.000, N 3
2021-07-12 11:05:43 [warn] Temp1 99.0, Z 32.500, N 3
2021-07-12 11:05:55 [warn] Temp1 82.0, Z 32.000, N 3
2021-07-12 11:06:07 [warn] Temp1 68.8, Z 31.500, N 3
2021-07-12 11:06:20 [warn] Temp1 59.8, Z 31.000, N 3
2021-07-12 11:06:32 [warn] Temp1 54.5, Z 30.500, N 3
